site_code,quadrat_num,species_code,PFT_fine,PFT_coarse,height
AMSUMMIT,0m,SALRET,DECIDUOUS SHRUBS,SHRUBS,4.333333333
AMSUMMIT,0m,DRYAS,EVERGREEN SHRUBS,SHRUBS,5
AMSUMMIT,0m,LUPARC,FORBS,FORBS,5
AMSUMMIT,0m,GRASS UNK,GRAMINOIDS,GRAMINOIDS,31.33333333
AMSUMMIT,0m,FLACUC,LICHENS,LICHENS,1.333333333
AMSUMMIT,0m,CAREX,SEDGES,GRAMINOIDS,24.33333333
AMSUMMIT,0m,ERIOP,SEDGES,GRAMINOIDS,15
AMSUMMIT,10m,DRYAS,EVERGREEN SHRUBS,SHRUBS,3.833333333
AMSUMMIT,10m,ANEMO,FORBS,FORBS,5.166666667
AMSUMMIT,10m,OXYTR,FORBS,FORBS,2.5
AMSUMMIT,10m,PEDIC,FORBS,FORBS,6.5
AMSUMMIT,10m,GRASS UNK,GRAMINOIDS,GRAMINOIDS,20
AMSUMMIT,10m,FLACUC,LICHENS,LICHENS,1.5
AMSUMMIT,10m,CAREX,SEDGES,GRAMINOIDS,18.33333333
AMSUMMIT,20m,EPIANG,FORBS,FORBS,20
AMSUMMIT,20m,OXYTR,FORBS,FORBS,7.333333333
AMSUMMIT,20m,POLYG,FORBS,FORBS,8
AMSUMMIT,20m,POA,GRASSES,GRAMINOIDS,29
AMSUMMIT,20m,SEDGE,SEDGES,GRAMINOIDS,55.66666667
AMSUMMIT,30m,EMPNIG,EVERGREEN SHRUBS,SHRUBS,3
AMSUMMIT,30m,ANEMO,FORBS,FORBS,2.5
AMSUMMIT,30m,FORB,FORBS,FORBS,2.5
AMSUMMIT,30m,POA,GRASSES,GRAMINOIDS,19.66666667
AMSUMMIT,30m,CAREX,SEDGES,GRAMINOIDS,24
AMSUMMIT,30m,SEDGE,SEDGES,GRAMINOIDS,41
AMSUMMIT,40m,ANEMO,FORBS,FORBS,5
AMSUMMIT,40m,EPIANG,FORBS,FORBS,11
AMSUMMIT,40m,LUPARC,FORBS,FORBS,2
AMSUMMIT,40m,OXYTR,FORBS,FORBS,6
AMSUMMIT,40m,POA,GRASSES,GRAMINOIDS,18
AMSUMMIT,40m,CAREX,SEDGES,GRAMINOIDS,17.33333333
AMSUMMIT,40m,SEDGE,SEDGES,GRAMINOIDS,69.66666667
AMSUMMIT,50m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,19.66666667
AMSUMMIT,50m,SALRET,DECIDUOUS SHRUBS,SHRUBS,4
AMSUMMIT,50m,VACULI,DECIDUOUS SHRUBS,SHRUBS,9
AMSUMMIT,50m,PEDIC,FORBS,FORBS,1.5
AMSUMMIT,50m,CLAMIT,LICHENS,LICHENS,2
AMSUMMIT,50m,CLARAN,LICHENS,LICHENS,2
AMSUMMIT,50m,FLACUC,LICHENS,LICHENS,2
AMSUMMIT,50m,CAREX,SEDGES,GRAMINOIDS,7.5
AMSUMMIT,50m,LICHEN TOTAL,TOTAL,TOTAL,2
AMSUMMIT,60m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,22
AMSUMMIT,60m,VACULI,DECIDUOUS SHRUBS,SHRUBS,8.5
AMSUMMIT,60m,ANEMO,FORBS,FORBS,4.333333333
AMSUMMIT,60m,GRASS UNK,GRAMINOIDS,GRAMINOIDS,2
AMSUMMIT,60m,FLACUC,LICHENS,LICHENS,1.5
AMSUMMIT,60m,CAREX,SEDGES,GRAMINOIDS,12.5
AMSUMMIT,70m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,23.5
AMSUMMIT,70m,EPIANG,FORBS,FORBS,24.66666667
AMSUMMIT,70m,OXYTR,FORBS,FORBS,8
AMSUMMIT,70m,PETFRI,FORBS,FORBS,8
AMSUMMIT,70m,SEDGE,SEDGES,GRAMINOIDS,38.33333333
AMSUMMIT,80m,BETUL,DECIDUOUS SHRUBS,SHRUBS,37.33333333
AMSUMMIT,80m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,19.66666667
AMSUMMIT,80m,GRASS UNK,GRAMINOIDS,GRAMINOIDS,34
AMSUMMIT,80m,CETISL,LICHENS,LICHENS,6
AMSUMMIT,80m,CAREX,SEDGES,GRAMINOIDS,9.666666667
AMSUMMIT,90m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,31.66666667
AMSUMMIT,90m,LUPARC,FORBS,FORBS,8.666666667
AMSUMMIT,90m,POTEN,FORBS,FORBS,7
AMSUMMIT,90m,GRASS UNK,GRAMINOIDS,GRAMINOIDS,23.5
AMSUMMIT,90m,CAREX,SEDGES,GRAMINOIDS,10
AUFEIS,0m,ARCTO,DECIDUOUS SHRUBS,SHRUBS,4.333333333
AUFEIS,0m,SALRET,DECIDUOUS SHRUBS,SHRUBS,3.666666667
AUFEIS,0m,DRYINT,EVERGREEN SHRUBS,SHRUBS,4
AUFEIS,0m,EQUIS,HORSETAILS,FORBS,24.33333333
AUFEIS,0m,CETCUC,LICHENS,LICHENS,2
AUFEIS,0m,ERIANG,SEDGES,GRAMINOIDS,28.33333333
AUFEIS,0m,ERIVAG,SEDGES,GRAMINOIDS,19.5
AUFEIS,0m,TUSSOCK,TUSSOCK,TUSSOCK,16.66666667
AUFEIS,10m,ARCTO,DECIDUOUS SHRUBS,SHRUBS,5
AUFEIS,10m,DRYAS,EVERGREEN SHRUBS,SHRUBS,3.666666667
AUFEIS,10m,EQUIS,HORSETAILS,FORBS,29.66666667
AUFEIS,10m,CETCUC,LICHENS,LICHENS,1.333333333
AUFEIS,10m,CRUSTOSE,LITTER,LITTER,1.666666667
AUFEIS,10m,ERIANG,SEDGES,GRAMINOIDS,20.33333333
AUFEIS,10m,ERIVAG,SEDGES,GRAMINOIDS,16.33333333
AUFEIS,10m,TUSSOCK,TUSSOCK,TUSSOCK,28
AUFEIS,20m,ARCTO,DECIDUOUS SHRUBS,SHRUBS,5.333333333
AUFEIS,20m,SALRET,DECIDUOUS SHRUBS,SHRUBS,3.333333333
AUFEIS,20m,DRYINT,EVERGREEN SHRUBS,SHRUBS,3.666666667
AUFEIS,20m,RHOLAP,EVERGREEN SHRUBS,SHRUBS,7
AUFEIS,20m,EQUIS,HORSETAILS,FORBS,24.66666667
AUFEIS,20m,ERIANG,SEDGES,GRAMINOIDS,21.66666667
AUFEIS,20m,ERIVAG,SEDGES,GRAMINOIDS,14.33333333
AUFEIS,20m,TUSSOCK,TUSSOCK,TUSSOCK,18.66666667
AUFEIS,30m,ARCTO,DECIDUOUS SHRUBS,SHRUBS,4.333333333
AUFEIS,30m,SALRET,DECIDUOUS SHRUBS,SHRUBS,4.333333333
AUFEIS,30m,DRYAS,EVERGREEN SHRUBS,SHRUBS,3.666666667
AUFEIS,30m,RHOLAP,EVERGREEN SHRUBS,SHRUBS,7.666666667
AUFEIS,30m,EQUIS,HORSETAILS,FORBS,25
AUFEIS,30m,CLADO,LICHENS,LICHENS,1.666666667
AUFEIS,30m,ERIANG,SEDGES,GRAMINOIDS,20
AUFEIS,30m,ERIVAG,SEDGES,GRAMINOIDS,13.66666667
AUFEIS,40m,ARCTO,DECIDUOUS SHRUBS,SHRUBS,5.666666667
AUFEIS,40m,DRYINT,EVERGREEN SHRUBS,SHRUBS,3.666666667
AUFEIS,40m,EQUIS,HORSETAILS,FORBS,27.66666667
AUFEIS,40m,ERIANG,SEDGES,GRAMINOIDS,23.66666667
AUFEIS,40m,ERIVAG,SEDGES,GRAMINOIDS,21.75
AUFEIS,40m,TUSSOCK,TUSSOCK,TUSSOCK,20.33333333
AUFEIS,50m,ARCTO,DECIDUOUS SHRUBS,SHRUBS,4.666666667
AUFEIS,50m,SALRET,DECIDUOUS SHRUBS,SHRUBS,4.666666667
AUFEIS,50m,DRYAS,EVERGREEN SHRUBS,SHRUBS,3.333333333
AUFEIS,50m,PEDCAP,FORBS,FORBS,7
AUFEIS,50m,EQUIS,HORSETAILS,FORBS,26.33333333
AUFEIS,50m,ERIANG,SEDGES,GRAMINOIDS,11.33333333
AUFEIS,50m,ERIVAG,SEDGES,GRAMINOIDS,20.33333333
AUFEIS,50m,TUSSOCK,TUSSOCK,TUSSOCK,23
AUFEIS,60m,ARCTO,DECIDUOUS SHRUBS,SHRUBS,4.333333333
AUFEIS,60m,DRYINT,EVERGREEN SHRUBS,SHRUBS,4.666666667
AUFEIS,60m,ANEPAR,FORBS,FORBS,4.666666667
AUFEIS,60m,PEDCAP,FORBS,FORBS,6.333333333
AUFEIS,60m,THAALP,FORBS,FORBS,6
AUFEIS,60m,EQUIS,HORSETAILS,FORBS,31.66666667
AUFEIS,60m,ERIANG,SEDGES,GRAMINOIDS,18.33333333
AUFEIS,60m,ERIVAG,SEDGES,GRAMINOIDS,13
AUFEIS,60m,TUSSOCK,TUSSOCK,TUSSOCK,8.333333333
