site_code,quadrat_num,species_code,PFT_fine,PFT_coarse,height
AUFEIS,70m,SALRET,DECIDUOUS SHRUBS,SHRUBS,2.666666667
AUFEIS,70m,DRYAS,EVERGREEN SHRUBS,SHRUBS,4.333333333
AUFEIS,70m,LEDDEC,EVERGREEN SHRUBS,SHRUBS,5.666666667
AUFEIS,70m,EQUIS,HORSETAILS,FORBS,12.33333333
AUFEIS,70m,CLADO,LICHENS,LICHENS,4.666666667
AUFEIS,70m,ERIANG,SEDGES,GRAMINOIDS,27
AUFEIS,70m,TUSSOCK,TUSSOCK,TUSSOCK,18
AUFEIS,80m,ARCTO,DECIDUOUS SHRUBS,SHRUBS,4.666666667
AUFEIS,80m,SALRET,DECIDUOUS SHRUBS,SHRUBS,5.666666667
AUFEIS,80m,DRYINT,EVERGREEN SHRUBS,SHRUBS,5
AUFEIS,80m,PEDIC,FORBS,FORBS,3
AUFEIS,80m,THAALP,FORBS,FORBS,3.333333333
AUFEIS,80m,EQUIS,HORSETAILS,FORBS,18.66666667
AUFEIS,80m,ERIANG,SEDGES,GRAMINOIDS,20.33333333
AUFEIS,80m,ERIVAG,SEDGES,GRAMINOIDS,13.33333333
AUFEIS,80m,TUSSOCK,TUSSOCK,TUSSOCK,14.33333333
AUFEIS,90m,SALIX,DECIDUOUS SHRUBS,SHRUBS,5
AUFEIS,90m,DRYAS,EVERGREEN SHRUBS,SHRUBS,3.666666667
AUFEIS,90m,PEDIC,FORBS,FORBS,6
AUFEIS,90m,EQUIS,HORSETAILS,FORBS,23
AUFEIS,90m,ERIANG,SEDGES,GRAMINOIDS,18.33333333
BABBAGE,0m,ARCRUB,DECIDUOUS SHRUBS,SHRUBS,4.5
BABBAGE,0m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,15.66666667
BABBAGE,0m,SALGLA,DECIDUOUS SHRUBS,SHRUBS,19.66666667
BABBAGE,0m,VACULI,DECIDUOUS SHRUBS,SHRUBS,13.33333333
BABBAGE,0m,EMPNIG,EVERGREEN SHRUBS,SHRUBS,4.333333333
BABBAGE,0m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,9.333333333
BABBAGE,0m,VACVIT,EVERGREEN SHRUBS,SHRUBS,4
BABBAGE,0m,LUPARC,FORBS,FORBS,9.666666667
BABBAGE,0m,PEDCAP,FORBS,FORBS,12
BABBAGE,0m,PEDLAB,FORBS,FORBS,6.333333333
BABBAGE,0m,POLBIS,FORBS,FORBS,8
BABBAGE,0m,SAUANG,FORBS,FORBS,7
BABBAGE,0m,STELON,FORBS,FORBS,18
BABBAGE,0m,CETCUC,LICHENS,LICHENS,1.666666667
BABBAGE,0m,PELTI,LICHENS,LICHENS,1.333333333
BABBAGE,10m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,14.33333333
BABBAGE,10m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,11.66666667
BABBAGE,10m,EMPNIG,EVERGREEN SHRUBS,SHRUBS,4
BABBAGE,10m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,13.33333333
BABBAGE,10m,VACVIT,EVERGREEN SHRUBS,SHRUBS,4.666666667
BABBAGE,10m,LUPARC,FORBS,FORBS,14.66666667
BABBAGE,10m,PEDCAP,FORBS,FORBS,9.666666667
BABBAGE,10m,POLBIS,FORBS,FORBS,10
BABBAGE,10m,SAUANG,FORBS,FORBS,8
BABBAGE,10m,ARCLAT,GRASSES,GRAMINOIDS,22.66666667
BABBAGE,10m,CETCUC,LICHENS,LICHENS,1.5
BABBAGE,10m,THAMN,LICHENS,LICHENS,1
BABBAGE,10m,CAREX,SEDGES,GRAMINOIDS,17
BABBAGE,20m,ARCRUB,DECIDUOUS SHRUBS,SHRUBS,2.666666667
BABBAGE,20m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,17.33333333
BABBAGE,20m,SALGLA,DECIDUOUS SHRUBS,SHRUBS,23.66666667
BABBAGE,20m,VACULI,DECIDUOUS SHRUBS,SHRUBS,7
BABBAGE,20m,EMPNIG,EVERGREEN SHRUBS,SHRUBS,2
BABBAGE,20m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,8
BABBAGE,20m,VACVIT,EVERGREEN SHRUBS,SHRUBS,2.666666667
BABBAGE,20m,PEDCAP,FORBS,FORBS,8.333333333
BABBAGE,20m,PETFRI,FORBS,FORBS,11.33333333
BABBAGE,20m,POLBIS,FORBS,FORBS,7
BABBAGE,20m,PELTI,LICHENS,LICHENS,1.333333333
BABBAGE,20m,CAREX,SEDGES,GRAMINOIDS,16
BABBAGE,30m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,32.33333333
BABBAGE,30m,SALGLA,DECIDUOUS SHRUBS,SHRUBS,14.33333333
BABBAGE,30m,SALPHL,DECIDUOUS SHRUBS,SHRUBS,3
BABBAGE,30m,SALRET,DECIDUOUS SHRUBS,SHRUBS,3.333333333
BABBAGE,30m,VACULI,DECIDUOUS SHRUBS,SHRUBS,8
BABBAGE,30m,VACVIT,EVERGREEN SHRUBS,SHRUBS,1.333333333
BABBAGE,30m,PETFRI,FORBS,FORBS,15.33333333
BABBAGE,30m,POLBIS,FORBS,FORBS,11
BABBAGE,30m,SAUANG,FORBS,FORBS,5.666666667
BABBAGE,30m,STELON,FORBS,FORBS,4
BABBAGE,30m,ARCLAT,GRASSES,GRAMINOIDS,23
BABBAGE,30m,CETCUC,LICHENS,LICHENS,2.666666667
BABBAGE,30m,PELTI,LICHENS,LICHENS,1
BABBAGE,30m,CAREX,SEDGES,GRAMINOIDS,19.33333333
BABBAGE,40m,ARCRUB,DECIDUOUS SHRUBS,SHRUBS,2.333333333
BABBAGE,40m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,13
BABBAGE,40m,VACULI,DECIDUOUS SHRUBS,SHRUBS,9
BABBAGE,40m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,7
BABBAGE,40m,VACVIT,EVERGREEN SHRUBS,SHRUBS,1
BABBAGE,40m,LUPARC,FORBS,FORBS,7
BABBAGE,40m,PEDLAB,FORBS,FORBS,5
BABBAGE,40m,PETFRI,FORBS,FORBS,7.333333333
BABBAGE,40m,POLBIS,FORBS,FORBS,13
BABBAGE,40m,SAUANG,FORBS,FORBS,5.333333333
BABBAGE,40m,ARCLAT,GRASSES,GRAMINOIDS,22
BABBAGE,40m,CETCUC,LICHENS,LICHENS,1.666666667
BABBAGE,40m,PELTI,LICHENS,LICHENS,1
BABBAGE,40m,THAMN,LICHENS,LICHENS,1
BABBAGE,40m,CAREX,SEDGES,GRAMINOIDS,14
BABBAGE,50m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,9
BABBAGE,50m,SALRET,DECIDUOUS SHRUBS,SHRUBS,5.333333333
BABBAGE,50m,VACULI,DECIDUOUS SHRUBS,SHRUBS,5.333333333
BABBAGE,50m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,7
BABBAGE,50m,VACVIT,EVERGREEN SHRUBS,SHRUBS,5.333333333
BABBAGE,50m,POLBIS,FORBS,FORBS,9
BABBAGE,50m,SAUANG,FORBS,FORBS,13
BABBAGE,50m,ARCLAT,GRASSES,GRAMINOIDS,20
BABBAGE,50m,CETCUC,LICHENS,LICHENS,2
BABBAGE,50m,PELTI,LICHENS,LICHENS,1.666666667
BABBAGE,50m,THAMN,LICHENS,LICHENS,1.666666667
BABBAGE,50m,CAREX,SEDGES,GRAMINOIDS,12.33333333
BABBAGE,50m,ERIVAG,SEDGES,GRAMINOIDS,19.33333333
BABBAGE,60m,ARCRUB,DECIDUOUS SHRUBS,SHRUBS,5.666666667
BABBAGE,60m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,14.5
BABBAGE,60m,VACULI,DECIDUOUS SHRUBS,SHRUBS,12.66666667
BABBAGE,60m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,7
BABBAGE,60m,VACVIT,EVERGREEN SHRUBS,SHRUBS,3.666666667
BABBAGE,60m,POLBIS,FORBS,FORBS,12.66666667
BABBAGE,60m,ARCLAT,GRASSES,GRAMINOIDS,17
BABBAGE,60m,CAREX,SEDGES,GRAMINOIDS,25.66666667
BABBAGE,70m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,15.66666667
BABBAGE,70m,VACULI,DECIDUOUS SHRUBS,SHRUBS,3.333333333
BABBAGE,70m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,9.333333333
BABBAGE,70m,VACVIT,EVERGREEN SHRUBS,SHRUBS,3
BABBAGE,70m,ASTER,FORBS,FORBS,9.666666667
BABBAGE,70m,PEDLAB,FORBS,FORBS,1
BABBAGE,70m,POLBIS,FORBS,FORBS,7.666666667
BABBAGE,70m,CETCUC,LICHENS,LICHENS,1
BABBAGE,70m,PELTI,LICHENS,LICHENS,1
BABBAGE,70m,THAMN,LICHENS,LICHENS,1
BABBAGE,70m,CAREX,SEDGES,GRAMINOIDS,16.33333333
BABBAGE,80m,ARCRUB,DECIDUOUS SHRUBS,SHRUBS,4.666666667
BABBAGE,80m,SALGLA,DECIDUOUS SHRUBS,SHRUBS,31.5
BABBAGE,80m,SALRET,DECIDUOUS SHRUBS,SHRUBS,7
BABBAGE,80m,VACULI,DECIDUOUS SHRUBS,SHRUBS,7.333333333
BABBAGE,80m,EMPNIG,EVERGREEN SHRUBS,SHRUBS,3.666666667
BABBAGE,80m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,4
BABBAGE,80m,VACVIT,EVERGREEN SHRUBS,SHRUBS,2.666666667
BABBAGE,80m,ASTER,FORBS,FORBS,1
BABBAGE,80m,LUPARC,FORBS,FORBS,11.33333333
BABBAGE,80m,PEDCAP,FORBS,FORBS,8.666666667
BABBAGE,80m,SAUANG,FORBS,FORBS,8
BABBAGE,80m,SAXNEL,FORBS,FORBS,4
BABBAGE,80m,STELON,FORBS,FORBS,6
BABBAGE,80m,ARCLAT,GRASSES,GRAMINOIDS,21.66666667
BABBAGE,80m,CETCUC,LICHENS,LICHENS,1.333333333
BABBAGE,80m,CLASTE,LICHENS,LICHENS,1
BABBAGE,80m,PELTI,LICHENS,LICHENS,1
BABBAGE,80m,LUZUL,RUSHES,GRAMINOIDS,31
BABBAGE,80m,CAREX,SEDGES,GRAMINOIDS,22.66666667
BABBAGE,90m,BETNAN,DECIDUOUS SHRUBS,SHRUBS,13.66666667
BABBAGE,90m,SALGLA,DECIDUOUS SHRUBS,SHRUBS,23
BABBAGE,90m,SALRET,DECIDUOUS SHRUBS,SHRUBS,2
BABBAGE,90m,VACULI,DECIDUOUS SHRUBS,SHRUBS,6
BABBAGE,90m,EMPNIG,EVERGREEN SHRUBS,SHRUBS,4
BABBAGE,90m,LEDPAL,EVERGREEN SHRUBS,SHRUBS,5.666666667
BABBAGE,90m,VACVIT,EVERGREEN SHRUBS,SHRUBS,1.666666667
BABBAGE,90m,ASTER,FORBS,FORBS,3
BABBAGE,90m,LUPARC,FORBS,FORBS,9
BABBAGE,90m,PEDCAP,FORBS,FORBS,9.333333333
BABBAGE,90m,PEDLAB,FORBS,FORBS,10
BABBAGE,90m,POLBIS,FORBS,FORBS,9
BABBAGE,90m,PYRGRA,FORBS,FORBS,1.333333333
BABBAGE,90m,SAUANG,FORBS,FORBS,8.333333333
BABBAGE,90m,ARCLAT,GRASSES,GRAMINOIDS,32
BABBAGE,90m,CETCUC,LICHENS,LICHENS,1.333333333
BABBAGE,90m,PELTI,LICHENS,LICHENS,1
BABBAGE,90m,CAREX,SEDGES,GRAMINOIDS,15.33333333
BIGHILL,0m,SALPHL,DECIDUOUS SHRUBS,SHRUBS,2.666666667
BIGHILL,0m,CASTET,EVERGREEN SHRUBS,SHRUBS,6.333333333
BIGHILL,0m,DIALAP,EVERGREEN SHRUBS,SHRUBS,1.333333333
BIGHILL,0m,DRYAS,EVERGREEN SHRUBS,SHRUBS,5.333333333
BIGHILL,0m,HIEALP,GRASSES,GRAMINOIDS,11.66666667
BIGHILL,0m,ALECT,LICHENS,LICHENS,2.666666667
BIGHILL,0m,BRYOR,LICHENS,LICHENS,1.666666667
BIGHILL,0m,CETCUC,LICHENS,LICHENS,1.333333333
BIGHILL,0m,CETNIV,LICHENS,LICHENS,1.333333333
BIGHILL,0m,CLASTE,LICHENS,LICHENS,1
BIGHILL,0m,SPHGLO,LICHENS,LICHENS,1
BIGHILL,0m,THAMN,LICHENS,LICHENS,1
BIGHILL,0m,CRUSTOSE,LITTER,LITTER,1
BIGHILL,0m,CAREX,SEDGES,GRAMINOIDS,6
BIGHILL,10m,ALECT,LICHENS,LICHENS,1.666666667
BIGHILL,10m,BRYOR,LICHENS,LICHENS,1.333333333
BIGHILL,10m,CLASTE,LICHENS,LICHENS,1.5
BIGHILL,10m,PELTI,LICHENS,LICHENS,1
BIGHILL,10m,CRUSTOSE,LITTER,LITTER,1
BIGHILL,20m,SALPHL,DECIDUOUS SHRUBS,SHRUBS,2.333333333
BIGHILL,20m,DIALAP,EVERGREEN SHRUBS,SHRUBS,1.333333333
BIGHILL,20m,DRYAS,EVERGREEN SHRUBS,SHRUBS,3.666666667
BIGHILL,20m,VACVIT,EVERGREEN SHRUBS,SHRUBS,2
BIGHILL,20m,ARNFRI,FORBS,FORBS,1.333333333
BIGHILL,20m,PEDCAP,FORBS,FORBS,4
BIGHILL,20m,HIEALP,GRASSES,GRAMINOIDS,10.33333333
BIGHILL,20m,BRYOR,LICHENS,LICHENS,1
BIGHILL,20m,CETCUC,LICHENS,LICHENS,1.333333333
BIGHILL,20m,CETNIV,LICHENS,LICHENS,1.333333333
BIGHILL,20m,CLASTE,LICHENS,LICHENS,1.666666667
BIGHILL,20m,STEREO,LICHENS,LICHENS,1
BIGHILL,20m,THAMN,LICHENS,LICHENS,1.333333333
BIGHILL,20m,CRUSTOSE,LITTER,LITTER,1
BIGHILL,20m,CAREX,SEDGES,GRAMINOIDS,4.333333333
BIGHILL,30m,SALPHL,DECIDUOUS SHRUBS,SHRUBS,2
BIGHILL,30m,DRYAS,EVERGREEN SHRUBS,SHRUBS,2.333333333
BIGHILL,30m,OXYTR,FORBS,FORBS,1.333333333
BIGHILL,30m,POLYG,FORBS,FORBS,1.5
BIGHILL,30m,SYNBOR,FORBS,FORBS,1
BIGHILL,30m,HIEALP,GRASSES,GRAMINOIDS,5
BIGHILL,30m,BRYOR,LICHENS,LICHENS,1
BIGHILL,30m,CETCUC,LICHENS,LICHENS,1
BIGHILL,30m,SPHGLO,LICHENS,LICHENS,1
BIGHILL,30m,STEREO,LICHENS,LICHENS,1
BIGHILL,30m,THAMN,LICHENS,LICHENS,1
BIGHILL,30m,CRUSTOSE,LITTER,LITTER,1
BIGHILL,30m,CAREX,SEDGES,GRAMINOIDS,3.333333333
BIGHILL,40m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,8.333333333
BIGHILL,40m,VACVIT,EVERGREEN SHRUBS,SHRUBS,2
BIGHILL,40m,SENATR,FORBS,FORBS,1.666666667
BIGHILL,40m,HIEALP,GRASSES,GRAMINOIDS,11
BIGHILL,40m,CETCUC,LICHENS,LICHENS,1.333333333
BIGHILL,40m,CLASTE,LICHENS,LICHENS,1.333333333
BIGHILL,40m,DACARC,LICHENS,LICHENS,1
BIGHILL,40m,MASRIC,LICHENS,LICHENS,2
BIGHILL,40m,THAMN,LICHENS,LICHENS,1.666666667
BIGHILL,40m,CRUSTOSE,LITTER,LITTER,1
BIGHILL,40m,LUZUL,RUSHES,GRAMINOIDS,6
BIGHILL,40m,CAREX,SEDGES,GRAMINOIDS,12.33333333
BIGHILL,50m,SALPHL,DECIDUOUS SHRUBS,SHRUBS,2.666666667
BIGHILL,50m,DRYAS,EVERGREEN SHRUBS,SHRUBS,4
BIGHILL,50m,VACVIT,EVERGREEN SHRUBS,SHRUBS,1.333333333
BIGHILL,50m,HIEALP,GRASSES,GRAMINOIDS,10
BIGHILL,50m,BRYOR,LICHENS,LICHENS,1
BIGHILL,50m,CETCUC,LICHENS,LICHENS,1.333333333
BIGHILL,50m,CETNIV,LICHENS,LICHENS,1.333333333
BIGHILL,50m,STEREO,LICHENS,LICHENS,1
BIGHILL,50m,THAMN,LICHENS,LICHENS,1
BIGHILL,50m,LUZUL,RUSHES,GRAMINOIDS,8
BIGHILL,50m,CAREX,SEDGES,GRAMINOIDS,4
BIGHILL,60m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,6.666666667
BIGHILL,60m,DRYAS,EVERGREEN SHRUBS,SHRUBS,3.666666667
BIGHILL,60m,HIEALP,GRASSES,GRAMINOIDS,8.666666667
BIGHILL,60m,ALECT,LICHENS,LICHENS,4
BIGHILL,60m,BRYOR,LICHENS,LICHENS,1
BIGHILL,60m,CETCUC,LICHENS,LICHENS,2
BIGHILL,60m,CETNIV,LICHENS,LICHENS,1.666666667
BIGHILL,60m,CLADO,LICHENS,LICHENS,1
BIGHILL,60m,CLASTE,LICHENS,LICHENS,2
BIGHILL,60m,DACARC,LICHENS,LICHENS,2.333333333
BIGHILL,60m,CRUSTOSE,LITTER,LITTER,1
BIGHILL,60m,CAREX,SEDGES,GRAMINOIDS,5.333333333
BIGHILL,70m,SALPHL,DECIDUOUS SHRUBS,SHRUBS,1.666666667
BIGHILL,70m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,6.666666667
BIGHILL,70m,DRYAS,EVERGREEN SHRUBS,SHRUBS,4.666666667
BIGHILL,70m,VACVIT,EVERGREEN SHRUBS,SHRUBS,1
BIGHILL,70m,HIEALP,GRASSES,GRAMINOIDS,17.33333333
BIGHILL,70m,ALECT,LICHENS,LICHENS,1.5
BIGHILL,70m,BRYOR,LICHENS,LICHENS,1
BIGHILL,70m,CETCUC,LICHENS,LICHENS,1.333333333
BIGHILL,70m,CETNIV,LICHENS,LICHENS,1
BIGHILL,70m,CLASTE,LICHENS,LICHENS,1
BIGHILL,70m,SPHGLO,LICHENS,LICHENS,1.333333333
BIGHILL,70m,THAMN,LICHENS,LICHENS,1
BIGHILL,70m,LUZUL,RUSHES,GRAMINOIDS,6.333333333
BIGHILL,70m,CAREX,SEDGES,GRAMINOIDS,7
BIGHILL,80m,SALPHL,DECIDUOUS SHRUBS,SHRUBS,1.333333333
BIGHILL,80m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,5
BIGHILL,80m,DRYAS,EVERGREEN SHRUBS,SHRUBS,3
BIGHILL,80m,VACVIT,EVERGREEN SHRUBS,SHRUBS,2.666666667
BIGHILL,80m,BRYOR,LICHENS,LICHENS,1
BIGHILL,80m,CETCUC,LICHENS,LICHENS,1
BIGHILL,80m,CETNIV,LICHENS,LICHENS,1.333333333
BIGHILL,80m,CLASTE,LICHENS,LICHENS,1
BIGHILL,80m,STEREO,LICHENS,LICHENS,1
BIGHILL,80m,THAMN,LICHENS,LICHENS,1
BIGHILL,80m,CAREX,SEDGES,GRAMINOIDS,9.333333333
BIGHILL,90m,SALPHL,DECIDUOUS SHRUBS,SHRUBS,2.333333333
BIGHILL,90m,SALPUL,DECIDUOUS SHRUBS,SHRUBS,8.666666667
