id,site_code,quadrat_num,PFT,height_observed,height_predicted,summary_type
1,AMSUMMIT,0m,DECIDUOUS SHRUBS,4.333333333,9.899999946,max
2,AMSUMMIT,0m,DECIDUOUS SHRUBS,4.333333333,4.862121197,mean
3,AMSUMMIT,0m,FORBS,5,8.900000155,max
4,AMSUMMIT,0m,FORBS,5,4.556521763,mean
5,AMSUMMIT,0m,GRAMINOIDS,31.33333333,17.4999997,max
6,AMSUMMIT,0m,GRAMINOIDS,23.55555555,5.064203247,mean
7,AMSUMMIT,0m,TOTAL,10.16666667,11.19999997,max
8,AMSUMMIT,0m,TOTAL,8.222222222,4.088893369,mean
9,AMSUMMIT,10m,DECIDUOUS SHRUBS,0,16.69999957,max
10,AMSUMMIT,10m,DECIDUOUS SHRUBS,0,12.77222199,mean
11,AMSUMMIT,10m,GRAMINOIDS,20,31.09999895,max
12,AMSUMMIT,10m,GRAMINOIDS,19.16666667,9.185410967,mean
13,AMSUMMIT,10m,TOTAL,6.666666667,24.7666657,max
14,AMSUMMIT,10m,TOTAL,6.388888888,11.93217396,mean
15,AMSUMMIT,20m,FORBS,20,18.79999936,max
16,AMSUMMIT,20m,FORBS,11.77777778,9.780952252,mean
17,AMSUMMIT,20m,GRAMINOIDS,55.66666667,32.4000001,max
18,AMSUMMIT,20m,GRAMINOIDS,42.33333334,13.66507415,mean
19,AMSUMMIT,20m,TOTAL,25.22222222,22.5666667,max
20,AMSUMMIT,20m,TOTAL,18.03703704,9.851453285,mean
21,AMSUMMIT,30m,GRAMINOIDS,41,28.20000052,max
22,AMSUMMIT,30m,GRAMINOIDS,28.22222222,6.639225612,mean
23,AMSUMMIT,30m,TOTAL,20.5,25.75000003,max
24,AMSUMMIT,30m,TOTAL,14.11111111,4.460638445,mean
25,AMSUMMIT,40m,GRAMINOIDS,69.66666667,18.50000024,max
26,AMSUMMIT,40m,GRAMINOIDS,35,8.264183836,mean
27,AMSUMMIT,40m,TOTAL,69.66666667,18.50000024,max
28,AMSUMMIT,40m,TOTAL,35,8.264183836,mean
29,AMSUMMIT,50m,DECIDUOUS SHRUBS,19.66666667,20.80000043,max
30,AMSUMMIT,50m,DECIDUOUS SHRUBS,10.88888889,3.772580628,mean
31,AMSUMMIT,50m,FORBS,1.5,14.69999999,max
32,AMSUMMIT,50m,FORBS,1.5,2.619999988,mean
33,AMSUMMIT,50m,GRAMINOIDS,7.5,20.90000063,max
34,AMSUMMIT,50m,GRAMINOIDS,7.5,3.407602356,mean
35,AMSUMMIT,50m,TOTAL,7.166666668,17.57500023,max
36,AMSUMMIT,50m,TOTAL,4.972222223,2.777947532,mean
37,AMSUMMIT,60m,DECIDUOUS SHRUBS,22,32.49999881,max
38,AMSUMMIT,60m,DECIDUOUS SHRUBS,15.25,12.0498747,mean
39,AMSUMMIT,60m,GRAMINOIDS,12.5,28.70000005,max
40,AMSUMMIT,60m,GRAMINOIDS,7.25,12.21099482,mean
41,AMSUMMIT,60m,TOTAL,17.25,30.59999943,max
42,AMSUMMIT,60m,TOTAL,11.25,12.13043476,mean
43,AMSUMMIT,70m,DECIDUOUS SHRUBS,23.5,51.20000243,max
44,AMSUMMIT,70m,DECIDUOUS SHRUBS,23.5,24.50649364,mean
45,AMSUMMIT,70m,FORBS,24.66666667,20.1000005,max
46,AMSUMMIT,70m,FORBS,13.55555556,13.58529408,mean
47,AMSUMMIT,70m,GRAMINOIDS,38.33333333,51.39999986,max
48,AMSUMMIT,70m,GRAMINOIDS,38.33333333,22.73434332,mean
49,AMSUMMIT,70m,TOTAL,17.3,38.22000086,max
50,AMSUMMIT,70m,TOTAL,15.07777778,19.36257649,mean
51,AMSUMMIT,80m,DECIDUOUS SHRUBS,37.33333333,22.30000049,max
52,AMSUMMIT,80m,DECIDUOUS SHRUBS,28.5,10.44350655,mean
53,AMSUMMIT,80m,GRAMINOIDS,34,50.3000021,max
54,AMSUMMIT,80m,GRAMINOIDS,21.83333333,9.42621628,mean
55,AMSUMMIT,80m,TOTAL,35.66666667,36.30000129,max
56,AMSUMMIT,80m,TOTAL,25.16666667,9.934861415,mean
57,AMSUMMIT,90m,DECIDUOUS SHRUBS,31.66666667,60.29999852,max
58,AMSUMMIT,90m,DECIDUOUS SHRUBS,31.66666667,25.84394466,mean
59,AMSUMMIT,90m,FORBS,8.666666667,6.80000037,max
60,AMSUMMIT,90m,FORBS,7.833333334,2.452941206,mean
