id,site_code,quadrat_num,PFT,height_observed,height_predicted,summary_type
61,AMSUMMIT,90m,GRAMINOIDS,23.5,63.59999776,max
62,AMSUMMIT,90m,GRAMINOIDS,16.75,19.10064925,mean
63,AMSUMMIT,90m,TOTAL,12.76666667,33.43999937,max
64,AMSUMMIT,90m,TOTAL,11.25,12.33950706,mean
65,AUFEIS,0m,EVERGREEN SHRUBS,4,12.89999932,max
66,AUFEIS,0m,EVERGREEN SHRUBS,4,6.916185001,mean
67,AUFEIS,0m,FORBS,24.33333333,9.899999946,max
68,AUFEIS,0m,FORBS,24.33333333,7.704761926,mean
69,AUFEIS,0m,GRAMINOIDS,28.33333333,13.09999973,max
70,AUFEIS,0m,GRAMINOIDS,23.91666667,6.102787477,mean
71,AUFEIS,0m,TOTAL,18.88888889,11.96666633,max
72,AUFEIS,0m,TOTAL,17.41666667,6.907911468,mean
73,AUFEIS,10m,EVERGREEN SHRUBS,3.666666667,13.50000054,max
74,AUFEIS,10m,EVERGREEN SHRUBS,3.666666667,7.636633663,mean
75,AUFEIS,10m,GRAMINOIDS,20.33333333,20.29999942,max
76,AUFEIS,10m,GRAMINOIDS,18.33333333,6.036850388,mean
77,AUFEIS,10m,TOTAL,12,16.89999998,max
78,AUFEIS,10m,TOTAL,11,6.836742026,mean
79,AUFEIS,20m,EVERGREEN SHRUBS,7,9.399999678,max
80,AUFEIS,20m,EVERGREEN SHRUBS,5.333333334,5.37314814,mean
81,AUFEIS,20m,GRAMINOIDS,21.66666667,9.399999678,max
82,AUFEIS,20m,GRAMINOIDS,18,4.601282047,mean
83,AUFEIS,20m,TOTAL,14.33333334,9.399999678,max
84,AUFEIS,20m,TOTAL,11.66666667,4.987215094,mean
85,AUFEIS,30m,EVERGREEN SHRUBS,7.666666667,11.10000014,max
86,AUFEIS,30m,EVERGREEN SHRUBS,5.666666667,5.338036815,mean
87,AUFEIS,30m,GRAMINOIDS,20,10.80000028,max
88,AUFEIS,30m,GRAMINOIDS,16.83333334,3.989531252,mean
89,AUFEIS,30m,TOTAL,9.222222222,11.00000019,max
90,AUFEIS,30m,TOTAL,7.500000001,3.876952522,mean
91,AUFEIS,40m,EVERGREEN SHRUBS,3.666666667,11.2999998,max
92,AUFEIS,40m,EVERGREEN SHRUBS,3.666666667,6.646153835,mean
93,AUFEIS,40m,GRAMINOIDS,23.66666667,15.0000006,max
94,AUFEIS,40m,GRAMINOIDS,22.70833334,5.07581865,mean
95,AUFEIS,40m,TOTAL,13.66666667,13.1500002,max
96,AUFEIS,40m,TOTAL,13.1875,5.860986242,mean
97,AUFEIS,50m,EVERGREEN SHRUBS,3.333333333,13.30000013,max
98,AUFEIS,50m,EVERGREEN SHRUBS,3.333333333,5.389784958,mean
99,AUFEIS,50m,GRAMINOIDS,20.33333333,14.80000019,max
100,AUFEIS,50m,GRAMINOIDS,15.83333333,5.156893199,mean
101,AUFEIS,50m,TOTAL,7.888888888,12.93333347,max
102,AUFEIS,50m,TOTAL,6.388888888,3.964019895,mean
103,AUFEIS,60m,DECIDUOUS SHRUBS,4.333333333,14.10000026,max
104,AUFEIS,60m,DECIDUOUS SHRUBS,4.333333333,6.251851893,mean
105,AUFEIS,60m,EVERGREEN SHRUBS,4.666666667,11.20000035,max
106,AUFEIS,60m,EVERGREEN SHRUBS,4.666666667,6.462162157,mean
107,AUFEIS,60m,GRAMINOIDS,18.33333333,14.10000026,max
108,AUFEIS,60m,GRAMINOIDS,15.66666667,6.85768116,mean
109,AUFEIS,60m,TOTAL,9.11111111,13.13333362,max
110,AUFEIS,60m,TOTAL,8.222222222,6.523898403,mean
111,AUFEIS,70m,EVERGREEN SHRUBS,5.666666667,8.900000155,max
112,AUFEIS,70m,EVERGREEN SHRUBS,5,4.269565232,mean
113,AUFEIS,70m,GRAMINOIDS,27,9.600000083,max
114,AUFEIS,70m,GRAMINOIDS,27,3.819548891,mean
115,AUFEIS,70m,TOTAL,16.33333333,9.250000119,max
116,AUFEIS,70m,TOTAL,16,4.044557062,mean
117,AUFEIS,80m,EVERGREEN SHRUBS,5,14.59999979,max
118,AUFEIS,80m,EVERGREEN SHRUBS,5,7.912871295,mean
119,AUFEIS,80m,FORBS,18.66666667,8.299999684,max
120,AUFEIS,80m,FORBS,8.333333334,4.146666707,mean
121,AUFEIS,80m,GRAMINOIDS,20.33333333,14.90000039,max
122,AUFEIS,80m,GRAMINOIDS,16.83333333,5.411306909,mean
123,AUFEIS,80m,TOTAL,14.66666667,12.59999995,max
124,AUFEIS,80m,TOTAL,10.05555555,5.82361497,mean
125,AUFEIS,90m,DECIDUOUS SHRUBS,5,15.09999931,max
126,AUFEIS,90m,DECIDUOUS SHRUBS,5,10.83750008,mean
127,AUFEIS,90m,EVERGREEN SHRUBS,3.666666667,13.50000054,max
128,AUFEIS,90m,EVERGREEN SHRUBS,3.666666667,2.711764737,mean
129,AUFEIS,90m,GRAMINOIDS,18.33333333,14.10000026,max
130,AUFEIS,90m,GRAMINOIDS,18.33333333,2.878260878,mean
131,AUFEIS,90m,TOTAL,8.999999999,14.23333337,max
132,AUFEIS,90m,TOTAL,8.999999999,5.475841897,mean
133,BABBAGE,0m,DECIDUOUS SHRUBS,19.66666667,12.30000034,max
134,BABBAGE,0m,DECIDUOUS SHRUBS,13.29166667,6.505726912,mean
135,BABBAGE,0m,EVERGREEN SHRUBS,9.333333333,15.0000006,max
136,BABBAGE,0m,EVERGREEN SHRUBS,5.888888889,6.053201995,mean
137,BABBAGE,0m,FORBS,18,14.10000026,max
138,BABBAGE,0m,FORBS,10.16666667,6.494366191,mean
139,BABBAGE,0m,TOTAL,15.66666667,13.8000004,max
140,BABBAGE,0m,TOTAL,9.782407408,6.351098366,mean
141,BABBAGE,10m,DECIDUOUS SHRUBS,14.33333333,9.000000358,max
142,BABBAGE,10m,DECIDUOUS SHRUBS,13,6.800000069,mean
143,BABBAGE,10m,EVERGREEN SHRUBS,13.33333333,8.299999684,max
144,BABBAGE,10m,EVERGREEN SHRUBS,7.333333332,5.715037595,mean
145,BABBAGE,10m,FORBS,14.66666667,8.299999684,max
146,BABBAGE,10m,FORBS,10.58333333,6.51481482,mean
147,BABBAGE,10m,GRAMINOIDS,22.66666667,11.40000001,max
148,BABBAGE,10m,GRAMINOIDS,19.83333334,6.617821786,mean
149,BABBAGE,10m,TOTAL,16.25,9.249999933,max
150,BABBAGE,10m,TOTAL,12.6875,6.411918568,mean
151,BABBAGE,20m,DECIDUOUS SHRUBS,23.66666667,15.50000012,max
152,BABBAGE,20m,DECIDUOUS SHRUBS,12.66666667,7.660747678,mean
153,BABBAGE,20m,EVERGREEN SHRUBS,8,16.09999985,max
154,BABBAGE,20m,EVERGREEN SHRUBS,4.222222222,6.907440479,mean
155,BABBAGE,20m,FORBS,11.33333333,12.89999932,max
156,BABBAGE,20m,FORBS,8.888888888,7.792857143,mean
157,BABBAGE,20m,GRAMINOIDS,16,16.09999985,max
158,BABBAGE,20m,GRAMINOIDS,16,8.253149623,mean
159,BABBAGE,20m,TOTAL,14.75,15.14999978,max
160,BABBAGE,20m,TOTAL,10.44444444,7.653548731,mean
161,BABBAGE,30m,DECIDUOUS SHRUBS,32.33333333,18.40000004,max
162,BABBAGE,30m,DECIDUOUS SHRUBS,12.2,7.869354839,mean
163,BABBAGE,30m,EVERGREEN SHRUBS,1.333333333,14.90000039,max
164,BABBAGE,30m,EVERGREEN SHRUBS,1.333333333,6.521212104,mean
165,BABBAGE,30m,FORBS,15.33333333,12.99999952,max
166,BABBAGE,30m,FORBS,8.999999999,7.304458636,mean
167,BABBAGE,30m,GRAMINOIDS,23,18.40000004,max
168,BABBAGE,30m,GRAMINOIDS,21.16666667,4.827272788,mean
169,BABBAGE,30m,TOTAL,18,16.175,max
170,BABBAGE,30m,TOTAL,10.925,6.630574592,mean
171,BABBAGE,40m,DECIDUOUS SHRUBS,13,7.599999756,max
172,BABBAGE,40m,DECIDUOUS SHRUBS,8.111111111,4.000000024,mean
173,BABBAGE,40m,EVERGREEN SHRUBS,7,16.79999977,max
174,BABBAGE,40m,EVERGREEN SHRUBS,4,4.732945747,mean
175,BABBAGE,40m,GRAMINOIDS,22,16.69999957,max
176,BABBAGE,40m,GRAMINOIDS,18,5.689261799,mean
177,BABBAGE,40m,TOTAL,14,13.6999997,max
178,BABBAGE,40m,TOTAL,10.03703704,4.807402523,mean
179,BABBAGE,50m,DECIDUOUS SHRUBS,9,13.60000074,max
180,BABBAGE,50m,DECIDUOUS SHRUBS,6.555555555,4.329411779,mean
181,BABBAGE,50m,EVERGREEN SHRUBS,7,8.500000089,max
182,BABBAGE,50m,EVERGREEN SHRUBS,6.166666667,2.379292923,mean
183,BABBAGE,50m,FORBS,13,6.499999762,max
184,BABBAGE,50m,FORBS,11,4.059090884,mean
185,BABBAGE,50m,GRAMINOIDS,20,8.500000089,max
186,BABBAGE,50m,GRAMINOIDS,17.22222222,2.603658525,mean
187,BABBAGE,50m,TOTAL,12.25,9.27500017,max
188,BABBAGE,50m,TOTAL,10.23611111,3.342863528,mean
189,BABBAGE,60m,EVERGREEN SHRUBS,7,15.50000012,max
190,BABBAGE,60m,EVERGREEN SHRUBS,5.333333334,9.042105275,mean
191,BABBAGE,60m,GRAMINOIDS,25.66666667,21.29999995,max
192,BABBAGE,60m,GRAMINOIDS,21.33333334,9.789890738,mean
193,BABBAGE,60m,TOTAL,16.33333334,18.40000004,max
194,BABBAGE,60m,TOTAL,13.33333333,9.415998007,mean
195,BABBAGE,70m,DECIDUOUS SHRUBS,15.66666667,17.00000018,max
196,BABBAGE,70m,DECIDUOUS SHRUBS,9.500000002,6.917921136,mean
197,BABBAGE,70m,EVERGREEN SHRUBS,9.333333333,17.00000018,max
198,BABBAGE,70m,EVERGREEN SHRUBS,6.166666667,5.977222236,mean
199,BABBAGE,70m,FORBS,9.666666667,14.39999938,max
200,BABBAGE,70m,FORBS,6.111111111,7.618750003,mean
201,BABBAGE,70m,TOTAL,11.55555556,16.13333325,max
202,BABBAGE,70m,TOTAL,7.25925926,6.837964458,mean
203,BABBAGE,80m,DECIDUOUS SHRUBS,31.5,15.50000012,max
204,BABBAGE,80m,DECIDUOUS SHRUBS,12.625,4.117475749,mean
205,BABBAGE,80m,GRAMINOIDS,31,8.500000089,max
206,BABBAGE,80m,GRAMINOIDS,25.11111111,4.553333366,mean
207,BABBAGE,80m,TOTAL,20.83333333,13.09999997,max
208,BABBAGE,80m,TOTAL,12.5787037,4.049158594,mean
209,BABBAGE,90m,DECIDUOUS SHRUBS,23,14.59999979,max
210,BABBAGE,90m,DECIDUOUS SHRUBS,11.16666667,6.846305446,mean
211,BABBAGE,90m,EVERGREEN SHRUBS,5.666666667,14.10000026,max
212,BABBAGE,90m,EVERGREEN SHRUBS,3.777777778,6.734055731,mean
213,BABBAGE,90m,FORBS,10,12.89999932,max
214,BABBAGE,90m,FORBS,7.142857143,6.942105274,mean
215,BABBAGE,90m,GRAMINOIDS,32,12.99999952,max
216,BABBAGE,90m,GRAMINOIDS,23.66666667,8.40049752,mean
217,BABBAGE,90m,TOTAL,17.66666667,13.64999972,max
218,BABBAGE,90m,TOTAL,11.43849206,7.230740993,mean
219,BLOWRIVER,0m,DECIDUOUS SHRUBS,34,24.09999967,max
220,BLOWRIVER,0m,DECIDUOUS SHRUBS,21.55555556,15.74999999,mean
221,BLOWRIVER,0m,EVERGREEN SHRUBS,11.66666667,23.39999974,max
222,BLOWRIVER,0m,EVERGREEN SHRUBS,9.000000002,10.14734512,mean
223,BLOWRIVER,0m,FORBS,7.666666667,26.10000074,max
224,BLOWRIVER,0m,FORBS,7.333333334,14.35882361,mean
225,BLOWRIVER,0m,GRAMINOIDS,21.25,22.90000021,max
226,BLOWRIVER,0m,GRAMINOIDS,21.25,9.157324861,mean
227,BLOWRIVER,0m,TOTAL,18.64583333,24.12500009,max
228,BLOWRIVER,0m,TOTAL,14.78472222,12.3533734,mean
229,BLOWRIVER,10m,EVERGREEN SHRUBS,12,17.10000038,max
230,BLOWRIVER,10m,EVERGREEN SHRUBS,8.833333334,7.422764241,mean
231,BLOWRIVER,10m,GRAMINOIDS,17,17.4999997,max
232,BLOWRIVER,10m,GRAMINOIDS,17,6.503358221,mean
233,BLOWRIVER,10m,TOTAL,14.5,17.30000004,max
234,BLOWRIVER,10m,TOTAL,12.91666667,6.963061231,mean
235,BLOWRIVER,20m,DECIDUOUS SHRUBS,17.66666667,14.30000067,max
236,BLOWRIVER,20m,DECIDUOUS SHRUBS,17.66666667,11.15600001,mean
237,BLOWRIVER,20m,EVERGREEN SHRUBS,20,12.80000061,max
238,BLOWRIVER,20m,EVERGREEN SHRUBS,13.5,7.812500011,mean
239,BLOWRIVER,20m,FORBS,8.666666667,14.20000046,max
240,BLOWRIVER,20m,FORBS,8.666666667,11.74285727,mean
241,BLOWRIVER,20m,GRAMINOIDS,23,17.2999993,max
242,BLOWRIVER,20m,GRAMINOIDS,23,7.559844071,mean
243,BLOWRIVER,20m,TOTAL,17.33333333,14.65000026,max
244,BLOWRIVER,20m,TOTAL,15.70833333,9.567800341,mean
245,BLOWRIVER,30m,DECIDUOUS SHRUBS,21,9.099999815,max
246,BLOWRIVER,30m,DECIDUOUS SHRUBS,21,3.953846152,mean
247,BLOWRIVER,30m,EVERGREEN SHRUBS,15,7.599999756,max
248,BLOWRIVER,30m,EVERGREEN SHRUBS,15,3.529411775,mean
249,BLOWRIVER,30m,FORBS,0,12.80000061,max
250,BLOWRIVER,30m,FORBS,0,7.715384684,mean
251,BLOWRIVER,30m,GRAMINOIDS,18.66666667,15.19999951,max
252,BLOWRIVER,30m,GRAMINOIDS,18.66666667,6.535920599,mean
253,BLOWRIVER,30m,TOTAL,10.93333333,11.9599998,max
254,BLOWRIVER,30m,TOTAL,10.93333333,5.525220341,mean
255,BLOWRIVER,40m,DECIDUOUS SHRUBS,57.66666667,48.30000103,max
256,BLOWRIVER,40m,DECIDUOUS SHRUBS,53.16666667,36.7078239,mean
257,BLOWRIVER,40m,EVERGREEN SHRUBS,0,37.59999871,max
258,BLOWRIVER,40m,EVERGREEN SHRUBS,0,21.72727266,mean
259,BLOWRIVER,40m,FORBS,0,48.30000103,max
260,BLOWRIVER,40m,FORBS,0,35.17272734,mean
261,BLOWRIVER,40m,GRAMINOIDS,28,45.60000002,max
262,BLOWRIVER,40m,GRAMINOIDS,28,26.89098359,mean
263,BLOWRIVER,40m,TOTAL,21.41666667,44.9500002,max
264,BLOWRIVER,40m,TOTAL,20.29166667,30.12470187,mean
265,BLOWRIVER,50m,DECIDUOUS SHRUBS,111.3333333,105.5999994,max
266,BLOWRIVER,50m,DECIDUOUS SHRUBS,111.3333333,86.12765963,mean
267,BLOWRIVER,50m,GRAMINOIDS,61.66666667,105.5999994,max
268,BLOWRIVER,50m,GRAMINOIDS,61.66666667,66.54827538,mean
269,BLOWRIVER,50m,TOTAL,86.49999999,105.5999994,max
270,BLOWRIVER,50m,TOTAL,86.49999999,76.3379675,mean
271,BLOWRIVER,60m,DECIDUOUS SHRUBS,62.33333333,42.06893444,max
272,BLOWRIVER,60m,DECIDUOUS SHRUBS,62.33333333,13.81940216,mean
273,BLOWRIVER,60m,GRAMINOIDS,35.33333333,33.33015442,max
274,BLOWRIVER,60m,GRAMINOIDS,35.33333333,16.22348376,mean
275,BLOWRIVER,60m,TOTAL,48.83333333,37.69954443,max
276,BLOWRIVER,60m,TOTAL,48.83333333,15.02144296,mean
277,BLOWRIVER,70m,DECIDUOUS SHRUBS,80.33333333,56.49999976,max
278,BLOWRIVER,70m,DECIDUOUS SHRUBS,41.66666666,18.80896248,mean
279,BLOWRIVER,70m,GRAMINOIDS,30.33333333,55.69999814,max
280,BLOWRIVER,70m,GRAMINOIDS,25.66666667,14.77980209,mean
281,BLOWRIVER,70m,TOTAL,55.33333333,56.09999895,max
282,BLOWRIVER,70m,TOTAL,33.66666666,16.79438229,mean
283,BLOWRIVER,80m,DECIDUOUS SHRUBS,38,14.39999938,max
284,BLOWRIVER,80m,DECIDUOUS SHRUBS,31.5,10.63071894,mean
285,BLOWRIVER,80m,FORBS,0,13.60000074,max
286,BLOWRIVER,80m,FORBS,0,10.78095237,mean
287,BLOWRIVER,80m,GRAMINOIDS,31,14.39999938,max
288,BLOWRIVER,80m,GRAMINOIDS,31,8.08474906,mean
289,BLOWRIVER,80m,TOTAL,23,14.13333317,max
290,BLOWRIVER,80m,TOTAL,20.83333333,9.832140125,mean
291,BLOWRIVER,90m,DECIDUOUS SHRUBS,58.66666667,50.59999824,max
292,BLOWRIVER,90m,DECIDUOUS SHRUBS,35.33333334,18.59909501,mean
293,BLOWRIVER,90m,EVERGREEN SHRUBS,7.333333333,9.200000018,max
294,BLOWRIVER,90m,EVERGREEN SHRUBS,6.5,1.970588246,mean
295,BLOWRIVER,90m,GRAMINOIDS,20.33333333,54.29999828,max
296,BLOWRIVER,90m,GRAMINOIDS,20.33333333,8.561496339,mean
297,BLOWRIVER,90m,TOTAL,28.77777778,38.03333218,max
298,BLOWRIVER,90m,TOTAL,20.72222222,9.710393197,mean
299,BROWNSCREEK,0m,EVERGREEN SHRUBS,3.333333333,8.100000024,max
300,BROWNSCREEK,0m,EVERGREEN SHRUBS,3.333333333,1.753759399,mean
301,BROWNSCREEK,0m,GRAMINOIDS,12,8.100000024,max
302,BROWNSCREEK,0m,GRAMINOIDS,12,4.16000008,mean
303,BROWNSCREEK,0m,LICHENS,2,3.200000152,max
304,BROWNSCREEK,0m,LICHENS,1,1.337804894,mean
305,BROWNSCREEK,0m,TOTAL,5.777777778,6.466666733,max
306,BROWNSCREEK,0m,TOTAL,5.444444444,2.417188124,mean
307,BROWNSCREEK,10m,EVERGREEN SHRUBS,2.333333333,4.500000179,max
308,BROWNSCREEK,10m,EVERGREEN SHRUBS,2.333333333,1.648235301,mean
309,BROWNSCREEK,10m,GRAMINOIDS,12.75,3.999999911,max
310,BROWNSCREEK,10m,GRAMINOIDS,8.041666667,2.244117628,mean
311,BROWNSCREEK,10m,LICHENS,2.666666667,2.899999917,max
312,BROWNSCREEK,10m,LICHENS,1.833333333,1.297802201,mean
313,BROWNSCREEK,10m,TOTAL,5.916666667,3.800000002,max
314,BROWNSCREEK,10m,TOTAL,4.069444444,1.73005171,mean
315,BROWNSCREEK,20m,EVERGREEN SHRUBS,3.333333333,5.000000075,max
316,BROWNSCREEK,20m,EVERGREEN SHRUBS,3.333333333,1.975806456,mean
317,BROWNSCREEK,20m,GRAMINOIDS,13,4.399999976,max
318,BROWNSCREEK,20m,GRAMINOIDS,12.375,2.306249996,mean
319,BROWNSCREEK,20m,LICHENS,3.333333333,5.49999997,max
320,BROWNSCREEK,20m,LICHENS,1.571428571,1.387837853,mean
321,BROWNSCREEK,20m,TOTAL,6.555555555,4.966666674,max
322,BROWNSCREEK,20m,TOTAL,5.759920635,1.889964769,mean
323,BROWNSCREEK,30m,EVERGREEN SHRUBS,4,6.80000037,max
324,BROWNSCREEK,30m,EVERGREEN SHRUBS,4,1.961458345,mean
325,BROWNSCREEK,30m,GRAMINOIDS,14.25,7.599999756,max
326,BROWNSCREEK,30m,GRAMINOIDS,9.125,3.375510218,mean
327,BROWNSCREEK,30m,LICHENS,3,6.499999762,max
328,BROWNSCREEK,30m,LICHENS,1.666666667,1.126881723,mean
329,BROWNSCREEK,30m,TOTAL,7.083333333,6.966666629,max
330,BROWNSCREEK,30m,TOTAL,4.930555556,2.154616762,mean
331,BROWNSCREEK,40m,EVERGREEN SHRUBS,4.75,6.499999762,max
332,BROWNSCREEK,40m,EVERGREEN SHRUBS,4.75,1.987016581,mean
333,BROWNSCREEK,40m,GRAMINOIDS,8,6.499999762,max
334,BROWNSCREEK,40m,GRAMINOIDS,8,2.781250016,mean
335,BROWNSCREEK,40m,LICHENS,2,3.400000185,max
336,BROWNSCREEK,40m,LICHENS,1.541666667,1.528333339,mean
337,BROWNSCREEK,40m,TOTAL,4.916666667,5.466666569,max
338,BROWNSCREEK,40m,TOTAL,4.763888889,2.098866646,mean
339,BROWNSCREEK,50m,DECIDUOUS SHRUBS,29.66666667,20.70000023,max
340,BROWNSCREEK,50m,DECIDUOUS SHRUBS,29.66666667,11.86238701,mean
341,BROWNSCREEK,50m,TOTAL,14.83333334,18.99999976,max
342,BROWNSCREEK,50m,TOTAL,14.83333334,7.14498659,mean
343,BROWNSCREEK,60m,DECIDUOUS SHRUBS,1,4.800000042,max
344,BROWNSCREEK,60m,DECIDUOUS SHRUBS,1,2.870967744,mean
345,BROWNSCREEK,60m,EVERGREEN SHRUBS,2.666666667,4.300000146,max
346,BROWNSCREEK,60m,EVERGREEN SHRUBS,2.666666667,2.07134832,mean
347,BROWNSCREEK,60m,GRAMINOIDS,10.5,4.100000113,max
348,BROWNSCREEK,60m,GRAMINOIDS,10.5,2.047058863,mean
349,BROWNSCREEK,60m,LICHENS,2,3.500000015,max
350,BROWNSCREEK,60m,LICHENS,1.095238095,1.246078441,mean
351,BROWNSCREEK,60m,TOTAL,4.041666667,4.175000079,max
352,BROWNSCREEK,60m,TOTAL,3.815476191,2.058863342,mean
353,BROWNSCREEK,70m,DECIDUOUS SHRUBS,12.33333333,11.80000007,max
354,BROWNSCREEK,70m,DECIDUOUS SHRUBS,12.33333333,7.634357566,mean
355,BROWNSCREEK,70m,EVERGREEN SHRUBS,3.666666667,10.89999974,max
356,BROWNSCREEK,70m,EVERGREEN SHRUBS,3.666666667,5.354744538,mean
357,BROWNSCREEK,70m,GRAMINOIDS,15.75,9.899999946,max
358,BROWNSCREEK,70m,GRAMINOIDS,10.54166667,7.286206954,mean
359,BROWNSCREEK,70m,TOTAL,10.58333333,10.86666659,max
360,BROWNSCREEK,70m,TOTAL,8.847222221,6.758436353,mean
361,BROWNSCREEK,80m,EVERGREEN SHRUBS,3.666666667,5.099999905,max
362,BROWNSCREEK,80m,EVERGREEN SHRUBS,3.666666667,2.577837849,mean
363,BROWNSCREEK,80m,LICHENS,2.666666667,3.500000015,max
364,BROWNSCREEK,80m,LICHENS,1.458333333,1.13703704,mean
365,BROWNSCREEK,80m,TOTAL,3.166666667,4.29999996,max
366,BROWNSCREEK,80m,TOTAL,2.5625,1.857437445,mean
367,BROWNSCREEK,90m,DECIDUOUS SHRUBS,18,16.79999977,max
368,BROWNSCREEK,90m,DECIDUOUS SHRUBS,11.33333333,8.165454611,mean
369,BROWNSCREEK,90m,EVERGREEN SHRUBS,0,14.10000026,max
370,BROWNSCREEK,90m,EVERGREEN SHRUBS,0,2.963265339,mean
371,BROWNSCREEK,90m,GRAMINOIDS,17,10.99999994,max
372,BROWNSCREEK,90m,GRAMINOIDS,17,4.211904762,mean
373,BROWNSCREEK,90m,LICHENS,4.333333333,6.100000069,max
374,BROWNSCREEK,90m,LICHENS,2.933333333,2.25636364,mean
375,BROWNSCREEK,90m,TOTAL,9.833333333,12.00000001,max
376,BROWNSCREEK,90m,TOTAL,7.816666667,4.399247088,mean
377,BUTLER,0m,EVERGREEN SHRUBS,3.666666667,2.899999917,max
378,BUTLER,0m,EVERGREEN SHRUBS,2.666666667,1.248557699,mean
379,BUTLER,0m,GRAMINOIDS,9.666666667,3.400000185,max
380,BUTLER,0m,GRAMINOIDS,6,1.252307688,mean
381,BUTLER,0m,LICHENS,1.666666667,3.799999878,max
382,BUTLER,0m,LICHENS,1.333333333,0.968518518,mean
