site_code,quadrat_num,PFT,summaryType,height
AMSUMMIT,80m,BRYOPHYTES,max,0.061999999
AMSUMMIT,80m,BRYOPHYTES,mean,0.017333333
AMSUMMIT,80m,DECIDUOUS SHRUBS,max,0.223000005
AMSUMMIT,80m,DECIDUOUS SHRUBS,mean,0.104435065
AMSUMMIT,80m,GRAMINOIDS,max,0.503000021
AMSUMMIT,80m,GRAMINOIDS,mean,0.094262163
AMSUMMIT,80m,NON VEGETATED,max,0.514999986
AMSUMMIT,80m,NON VEGETATED,mean,0.075833333
AMSUMMIT,90m,BRYOPHYTES,max,0.287
AMSUMMIT,90m,BRYOPHYTES,mean,0.118666668
AMSUMMIT,90m,DECIDUOUS SHRUBS,max,0.602999985
AMSUMMIT,90m,DECIDUOUS SHRUBS,mean,0.258439447
AMSUMMIT,90m,FORBS,max,0.068000004
AMSUMMIT,90m,FORBS,mean,0.024529412
AMSUMMIT,90m,GRAMINOIDS,max,0.635999978
AMSUMMIT,90m,GRAMINOIDS,mean,0.191006493
AMSUMMIT,90m,NON VEGETATED,max,0.078000002
AMSUMMIT,90m,NON VEGETATED,mean,0.024333333
AUFEIS,0m,BRYOPHYTES,max,0.088
AUFEIS,0m,BRYOPHYTES,mean,0.046923077
AUFEIS,0m,DECIDUOUS SHRUBS,max,0.123000003
AUFEIS,0m,DECIDUOUS SHRUBS,mean,0.056733334
AUFEIS,0m,EVERGREEN SHRUBS,max,0.128999993
AUFEIS,0m,EVERGREEN SHRUBS,mean,0.06916185
AUFEIS,0m,FORBS,max,0.098999999
AUFEIS,0m,FORBS,mean,0.077047619
AUFEIS,0m,GRAMINOIDS,max,0.130999997
AUFEIS,0m,GRAMINOIDS,mean,0.061027875
AUFEIS,0m,NON VEGETATED,max,0.127000004
AUFEIS,0m,NON VEGETATED,mean,0.039941489
AUFEIS,10m,BRYOPHYTES,max,0.129999995
AUFEIS,10m,BRYOPHYTES,mean,0.087374999
AUFEIS,10m,DECIDUOUS SHRUBS,max,0.179000005
AUFEIS,10m,DECIDUOUS SHRUBS,mean,0.10525
AUFEIS,10m,EVERGREEN SHRUBS,max,0.135000005
AUFEIS,10m,EVERGREEN SHRUBS,mean,0.076366337
AUFEIS,10m,FORBS,max,0.057999998
AUFEIS,10m,FORBS,mean,0.036125
AUFEIS,10m,GRAMINOIDS,max,0.202999994
AUFEIS,10m,GRAMINOIDS,mean,0.060368504
AUFEIS,10m,NON VEGETATED,max,0.104000002
AUFEIS,10m,NON VEGETATED,mean,0.029773913
AUFEIS,20m,BRYOPHYTES,max,0.068999998
AUFEIS,20m,BRYOPHYTES,mean,0.03596
AUFEIS,20m,DECIDUOUS SHRUBS,max,0.086999997
AUFEIS,20m,DECIDUOUS SHRUBS,mean,0.024875
AUFEIS,20m,EVERGREEN SHRUBS,max,0.093999997
AUFEIS,20m,EVERGREEN SHRUBS,mean,0.053731481
AUFEIS,20m,GRAMINOIDS,max,0.093999997
AUFEIS,20m,GRAMINOIDS,mean,0.04601282
AUFEIS,20m,NON VEGETATED,max,0.072999999
AUFEIS,20m,NON VEGETATED,mean,0.011507761
AUFEIS,30m,BRYOPHYTES,max,0.029999999
AUFEIS,30m,BRYOPHYTES,mean,0.018666667
AUFEIS,30m,DECIDUOUS SHRUBS,max,0.100000001
AUFEIS,30m,DECIDUOUS SHRUBS,mean,0.038066667
AUFEIS,30m,EVERGREEN SHRUBS,max,0.111000001
AUFEIS,30m,EVERGREEN SHRUBS,mean,0.053380368
AUFEIS,30m,FORBS,max,0.035999998
AUFEIS,30m,FORBS,mean,0.0245
AUFEIS,30m,GRAMINOIDS,max,0.108000003
AUFEIS,30m,GRAMINOIDS,mean,0.039895313
AUFEIS,30m,NON VEGETATED,max,0.111000001
AUFEIS,30m,NON VEGETATED,mean,0.023032895
AUFEIS,40m,BRYOPHYTES,max,0.067000002
AUFEIS,40m,BRYOPHYTES,mean,0.0345
AUFEIS,40m,DECIDUOUS SHRUBS,max,0.107000001
AUFEIS,40m,DECIDUOUS SHRUBS,mean,0.082
AUFEIS,40m,EVERGREEN SHRUBS,max,0.112999998
AUFEIS,40m,EVERGREEN SHRUBS,mean,0.066461538
AUFEIS,40m,FORBS,max,0.077
AUFEIS,40m,FORBS,mean,0.051166667
AUFEIS,40m,GRAMINOIDS,max,0.150000006
AUFEIS,40m,GRAMINOIDS,mean,0.050758186
AUFEIS,40m,NON VEGETATED,max,0.150000006
AUFEIS,40m,NON VEGETATED,mean,0.032512821
AUFEIS,50m,BRYOPHYTES,max,0.118000001
AUFEIS,50m,BRYOPHYTES,mean,0.014166667
AUFEIS,50m,DECIDUOUS SHRUBS,max,0.107000001
AUFEIS,50m,DECIDUOUS SHRUBS,mean,0.034272727
AUFEIS,50m,EVERGREEN SHRUBS,max,0.133000001
AUFEIS,50m,EVERGREEN SHRUBS,mean,0.05389785
AUFEIS,50m,FORBS,max,0.081
AUFEIS,50m,FORBS,mean,0.040625
AUFEIS,50m,GRAMINOIDS,max,0.148000002
AUFEIS,50m,GRAMINOIDS,mean,0.051568932
AUFEIS,50m,NON VEGETATED,max,0.107000001
AUFEIS,50m,NON VEGETATED,mean,0.013453815
AUFEIS,60m,BRYOPHYTES,max,0.094999999
AUFEIS,60m,BRYOPHYTES,mean,0.058333334
AUFEIS,60m,DECIDUOUS SHRUBS,max,0.141000003
AUFEIS,60m,DECIDUOUS SHRUBS,mean,0.062518519
AUFEIS,60m,EVERGREEN SHRUBS,max,0.112000003
AUFEIS,60m,EVERGREEN SHRUBS,mean,0.064621622
AUFEIS,60m,GRAMINOIDS,max,0.141000003
AUFEIS,60m,GRAMINOIDS,mean,0.068576812
AUFEIS,60m,NON VEGETATED,max,0.085000001
AUFEIS,60m,NON VEGETATED,mean,0.020281482
AUFEIS,70m,BRYOPHYTES,max,0.054000001
AUFEIS,70m,BRYOPHYTES,mean,0.034076923
AUFEIS,70m,DECIDUOUS SHRUBS,max,0.034000002
AUFEIS,70m,DECIDUOUS SHRUBS,mean,0.019
AUFEIS,70m,EVERGREEN SHRUBS,max,0.089000002
AUFEIS,70m,EVERGREEN SHRUBS,mean,0.042695652
AUFEIS,70m,FORBS,max,0.057
AUFEIS,70m,FORBS,mean,0.057
AUFEIS,70m,GRAMINOIDS,max,0.096000001
AUFEIS,70m,GRAMINOIDS,mean,0.038195489
AUFEIS,70m,NON VEGETATED,max,0.096000001
AUFEIS,70m,NON VEGETATED,mean,0.013470982
AUFEIS,80m,BRYOPHYTES,max,0.082999997
AUFEIS,80m,BRYOPHYTES,mean,0.074999999
AUFEIS,80m,DECIDUOUS SHRUBS,max,0.055
AUFEIS,80m,DECIDUOUS SHRUBS,mean,0.0335
AUFEIS,80m,EVERGREEN SHRUBS,max,0.145999998
AUFEIS,80m,EVERGREEN SHRUBS,mean,0.079128713
AUFEIS,80m,FORBS,max,0.082999997
AUFEIS,80m,FORBS,mean,0.041466667
AUFEIS,80m,GRAMINOIDS,max,0.149000004
AUFEIS,80m,GRAMINOIDS,mean,0.054113069
AUFEIS,80m,NON VEGETATED,max,0.072999999
AUFEIS,80m,NON VEGETATED,mean,0.027323171
AUFEIS,90m,BRYOPHYTES,max,0.088
AUFEIS,90m,BRYOPHYTES,mean,0.033769231
AUFEIS,90m,DECIDUOUS SHRUBS,max,0.150999993
AUFEIS,90m,DECIDUOUS SHRUBS,mean,0.108375001
AUFEIS,90m,EVERGREEN SHRUBS,max,0.135000005
AUFEIS,90m,EVERGREEN SHRUBS,mean,0.027117647
AUFEIS,90m,FORBS,max,0.050999999
AUFEIS,90m,FORBS,mean,0.0295
AUFEIS,90m,GRAMINOIDS,max,0.141000003
AUFEIS,90m,GRAMINOIDS,mean,0.028782609
AUFEIS,90m,NON VEGETATED,max,0.150999993
AUFEIS,90m,NON VEGETATED,mean,0.032540323
BABBAGE,0m,BRYOPHYTES,max,0.074000001
BABBAGE,0m,BRYOPHYTES,mean,0.041571428
BABBAGE,0m,DECIDUOUS SHRUBS,max,0.123000003
BABBAGE,0m,DECIDUOUS SHRUBS,mean,0.065057269
BABBAGE,0m,EVERGREEN SHRUBS,max,0.150000006
BABBAGE,0m,EVERGREEN SHRUBS,mean,0.06053202
BABBAGE,0m,FORBS,max,0.141000003
BABBAGE,0m,FORBS,mean,0.064943662
BABBAGE,0m,GRAMINOIDS,max,0.100000001
BABBAGE,0m,GRAMINOIDS,mean,0.0733
BABBAGE,0m,NON VEGETATED,max,0.078000002
BABBAGE,0m,NON VEGETATED,mean,0.078000002
BABBAGE,0m,SHADOW,max,0.064000003
BABBAGE,0m,SHADOW,mean,0.036222222
BABBAGE,10m,BRYOPHYTES,max,0.07
BABBAGE,10m,BRYOPHYTES,mean,0.044461539
BABBAGE,10m,DECIDUOUS SHRUBS,max,0.090000004
BABBAGE,10m,DECIDUOUS SHRUBS,mean,0.068000001
BABBAGE,10m,EVERGREEN SHRUBS,max,0.082999997
BABBAGE,10m,EVERGREEN SHRUBS,mean,0.057150376
BABBAGE,10m,FORBS,max,0.082999997
BABBAGE,10m,FORBS,mean,0.065148148
BABBAGE,10m,GRAMINOIDS,max,0.114
BABBAGE,10m,GRAMINOIDS,mean,0.066178218
BABBAGE,10m,NON VEGETATED,max,0.104999997
BABBAGE,10m,NON VEGETATED,mean,0.104999997
BABBAGE,20m,BRYOPHYTES,max,0.160999998
BABBAGE,20m,BRYOPHYTES,mean,0.071618181
BABBAGE,20m,DECIDUOUS SHRUBS,max,0.155000001
BABBAGE,20m,DECIDUOUS SHRUBS,mean,0.076607477
BABBAGE,20m,EVERGREEN SHRUBS,max,0.160999998
BABBAGE,20m,EVERGREEN SHRUBS,mean,0.069074405
BABBAGE,20m,FORBS,max,0.128999993
BABBAGE,20m,FORBS,mean,0.077928571
BABBAGE,20m,GRAMINOIDS,max,0.160999998
BABBAGE,20m,GRAMINOIDS,mean,0.082531496
BABBAGE,20m,NON VEGETATED,max,0.129999995
BABBAGE,20m,NON VEGETATED,mean,0.101199997
BABBAGE,20m,SHADOW,max,0.052999999
BABBAGE,20m,SHADOW,mean,0.043500001
BABBAGE,30m,BRYOPHYTES,max,0.093000002
BABBAGE,30m,BRYOPHYTES,mean,0.074750001
BABBAGE,30m,DECIDUOUS SHRUBS,max,0.184
BABBAGE,30m,DECIDUOUS SHRUBS,mean,0.078693548
BABBAGE,30m,EVERGREEN SHRUBS,max,0.149000004
BABBAGE,30m,EVERGREEN SHRUBS,mean,0.065212121
BABBAGE,30m,FORBS,max,0.129999995
BABBAGE,30m,FORBS,mean,0.073044586
BABBAGE,30m,GRAMINOIDS,max,0.184
BABBAGE,30m,GRAMINOIDS,mean,0.048272728
BABBAGE,30m,NON VEGETATED,max,0.092
BABBAGE,30m,NON VEGETATED,mean,0.038966667
BABBAGE,30m,SHADOW,max,0.101000004
BABBAGE,30m,SHADOW,mean,0.026552632
BABBAGE,40m,BRYOPHYTES,max,0.166999996
BABBAGE,40m,BRYOPHYTES,mean,0.045955556
BABBAGE,40m,DECIDUOUS SHRUBS,max,0.075999998
BABBAGE,40m,DECIDUOUS SHRUBS,mean,0.04
BABBAGE,40m,EVERGREEN SHRUBS,max,0.167999998
BABBAGE,40m,EVERGREEN SHRUBS,mean,0.047329457
BABBAGE,40m,FORBS,max,0.090000004
BABBAGE,40m,FORBS,mean,0.0595
BABBAGE,40m,GRAMINOIDS,max,0.166999996
BABBAGE,40m,GRAMINOIDS,mean,0.056892618
BABBAGE,40m,NON VEGETATED,max,0.119999997
BABBAGE,40m,NON VEGETATED,mean,0.051045454
BABBAGE,40m,SHADOW,max,0.041000001
BABBAGE,40m,SHADOW,mean,0.019785715
BABBAGE,50m,BRYOPHYTES,max,0.068999998
BABBAGE,50m,BRYOPHYTES,mean,0.03
BABBAGE,50m,DECIDUOUS SHRUBS,max,0.136000007
BABBAGE,50m,DECIDUOUS SHRUBS,mean,0.043294118
BABBAGE,50m,EVERGREEN SHRUBS,max,0.085000001
BABBAGE,50m,EVERGREEN SHRUBS,mean,0.023792929
BABBAGE,50m,FORBS,max,0.064999998
BABBAGE,50m,FORBS,mean,0.040590909
BABBAGE,50m,GRAMINOIDS,max,0.085000001
BABBAGE,50m,GRAMINOIDS,mean,0.026036585
BABBAGE,50m,NON VEGETATED,max,0.034000002
BABBAGE,50m,NON VEGETATED,mean,0.008846154
BABBAGE,50m,SHADOW,max,0.075000003
BABBAGE,50m,SHADOW,mean,0.03435
BABBAGE,60m,BRYOPHYTES,max,0.022
BABBAGE,60m,BRYOPHYTES,mean,0.007333333
BABBAGE,60m,DECIDUOUS SHRUBS,max,0.090999998
BABBAGE,60m,DECIDUOUS SHRUBS,mean,0.090999998
BABBAGE,60m,EVERGREEN SHRUBS,max,0.155000001
BABBAGE,60m,EVERGREEN SHRUBS,mean,0.090421053
BABBAGE,60m,GRAMINOIDS,max,0.213
BABBAGE,60m,GRAMINOIDS,mean,0.097898907
BABBAGE,60m,NON VEGETATED,max,0.021
BABBAGE,60m,NON VEGETATED,mean,0.021
BABBAGE,70m,BRYOPHYTES,max,0.160999998
BABBAGE,70m,BRYOPHYTES,mean,0.041197369
BABBAGE,70m,DECIDUOUS SHRUBS,max,0.170000002
BABBAGE,70m,DECIDUOUS SHRUBS,mean,0.069179211
BABBAGE,70m,EVERGREEN SHRUBS,max,0.170000002
BABBAGE,70m,EVERGREEN SHRUBS,mean,0.059772222
BABBAGE,70m,FORBS,max,0.143999994
BABBAGE,70m,FORBS,mean,0.0761875
BABBAGE,70m,GRAMINOIDS,max,0.086999997
BABBAGE,70m,GRAMINOIDS,mean,0.043857143
BABBAGE,70m,NON VEGETATED,max,0.071999997
BABBAGE,70m,NON VEGETATED,mean,0.0292
BABBAGE,70m,SHADOW,max,0.097000003
BABBAGE,70m,SHADOW,mean,0.018948276
BABBAGE,80m,BRYOPHYTES,max,0.059
BABBAGE,80m,BRYOPHYTES,mean,0.02025
BABBAGE,80m,DECIDUOUS SHRUBS,max,0.155000001
BABBAGE,80m,DECIDUOUS SHRUBS,mean,0.041174757
BABBAGE,80m,EVERGREEN SHRUBS,max,0.043000001
BABBAGE,80m,EVERGREEN SHRUBS,mean,0.028833333
BABBAGE,80m,FORBS,max,0.105999999
BABBAGE,80m,FORBS,mean,0.063500001
BABBAGE,80m,GRAMINOIDS,max,0.085000001
BABBAGE,80m,GRAMINOIDS,mean,0.045533334
