id,site_code,quadrat_num,PFT,biomass_observed,biomass_predicted,metric
1,AMSUMMIT,10m,DECIDUOUS SHRUBS,0,3.842463464,ci
2,AMSUMMIT,10m,DECIDUOUS SHRUBS,0,6.21768792,fit
3,AMSUMMIT,10m,DECIDUOUS SHRUBS,0,4.457013682,lwr
4,AMSUMMIT,10m,DECIDUOUS SHRUBS,0,8.299477071,upr
5,AMSUMMIT,10m,EVERGREEN SHRUBS,7.4,0.800634984,ci
6,AMSUMMIT,10m,EVERGREEN SHRUBS,7.4,1.890453398,fit
7,AMSUMMIT,10m,EVERGREEN SHRUBS,7.4,1.511336111,lwr
8,AMSUMMIT,10m,EVERGREEN SHRUBS,7.4,2.311971098,upr
9,AMSUMMIT,10m,FORBS,7.44,0.393791068,ci
10,AMSUMMIT,10m,FORBS,7.44,0.337939166,fit
11,AMSUMMIT,10m,FORBS,7.44,0.169723241,lwr
12,AMSUMMIT,10m,FORBS,7.44,0.563514292,upr
13,AMSUMMIT,10m,GRAMINOIDS,86.12,42.531319,ci
14,AMSUMMIT,10m,GRAMINOIDS,86.12,107.0911316,fit
15,AMSUMMIT,10m,GRAMINOIDS,86.12,86.90449228,lwr
16,AMSUMMIT,10m,GRAMINOIDS,86.12,129.4358111,upr
17,AMSUMMIT,10m,LICHENS,0,0,ci
18,AMSUMMIT,10m,LICHENS,0,0,fit
19,AMSUMMIT,10m,LICHENS,0,0,lwr
20,AMSUMMIT,10m,LICHENS,0,0,upr
21,AMSUMMIT,10m,TOTAL,100.96,47.56820851,ci
22,AMSUMMIT,10m,TOTAL,100.96,115.5372121,fit
23,AMSUMMIT,10m,TOTAL,100.96,93.04256531,lwr
24,AMSUMMIT,10m,TOTAL,100.96,140.6107736,upr
25,AMSUMMIT,30m,DECIDUOUS SHRUBS,58.28,1.098895114,ci
26,AMSUMMIT,30m,DECIDUOUS SHRUBS,58.28,2.503462151,fit
27,AMSUMMIT,30m,DECIDUOUS SHRUBS,58.28,1.986541275,lwr
28,AMSUMMIT,30m,DECIDUOUS SHRUBS,58.28,3.085436352,upr
29,AMSUMMIT,30m,EVERGREEN SHRUBS,0,0,ci
30,AMSUMMIT,30m,EVERGREEN SHRUBS,0,0,fit
31,AMSUMMIT,30m,EVERGREEN SHRUBS,0,0,lwr
32,AMSUMMIT,30m,EVERGREEN SHRUBS,0,0,upr
33,AMSUMMIT,30m,FORBS,3.88,0,ci
34,AMSUMMIT,30m,FORBS,3.88,0,fit
35,AMSUMMIT,30m,FORBS,3.88,0,lwr
36,AMSUMMIT,30m,FORBS,3.88,0,upr
37,AMSUMMIT,30m,GRAMINOIDS,128.92,28.48766824,ci
38,AMSUMMIT,30m,GRAMINOIDS,128.92,72.26266635,fit
39,AMSUMMIT,30m,GRAMINOIDS,128.92,58.92783627,lwr
40,AMSUMMIT,30m,GRAMINOIDS,128.92,87.41703999,upr
41,AMSUMMIT,30m,LICHENS,0,0,ci
42,AMSUMMIT,30m,LICHENS,0,0,fit
43,AMSUMMIT,30m,LICHENS,0,0,lwr
44,AMSUMMIT,30m,LICHENS,0,0,upr
45,AMSUMMIT,30m,TOTAL,191.08,29.58656335,ci
46,AMSUMMIT,30m,TOTAL,191.08,74.7661285,fit
47,AMSUMMIT,30m,TOTAL,191.08,60.91437755,lwr
48,AMSUMMIT,30m,TOTAL,191.08,90.50247634,upr
49,AMSUMMIT,50m,DECIDUOUS SHRUBS,92.32,11.74773884,ci
50,AMSUMMIT,50m,DECIDUOUS SHRUBS,92.32,15.43102544,fit
51,AMSUMMIT,50m,DECIDUOUS SHRUBS,92.32,10.08493625,lwr
52,AMSUMMIT,50m,DECIDUOUS SHRUBS,92.32,21.88940746,upr
53,AMSUMMIT,50m,EVERGREEN SHRUBS,0,0,ci
54,AMSUMMIT,50m,EVERGREEN SHRUBS,0,0,fit
55,AMSUMMIT,50m,EVERGREEN SHRUBS,0,0,lwr
