id,site_code,quadrat_num,PFT,biomass_observed,biomass_predicted,metric
56,AMSUMMIT,50m,EVERGREEN SHRUBS,0,0,upr
57,AMSUMMIT,50m,FORBS,2.88,2.395144166,ci
58,AMSUMMIT,50m,FORBS,2.88,2.154553659,fit
59,AMSUMMIT,50m,FORBS,2.88,1.126206807,lwr
60,AMSUMMIT,50m,FORBS,2.88,3.521350933,upr
61,AMSUMMIT,50m,GRAMINOIDS,11,4.55813516,ci
62,AMSUMMIT,50m,GRAMINOIDS,11,11.04276432,fit
63,AMSUMMIT,50m,GRAMINOIDS,11,8.885828109,lwr
64,AMSUMMIT,50m,GRAMINOIDS,11,13.45984644,upr
65,AMSUMMIT,50m,LICHENS,9.48,0,ci
66,AMSUMMIT,50m,LICHENS,9.48,0,fit
67,AMSUMMIT,50m,LICHENS,9.48,0,lwr
68,AMSUMMIT,50m,LICHENS,9.48,0,upr
69,AMSUMMIT,50m,TOTAL,115.68,18.70101817,ci
70,AMSUMMIT,50m,TOTAL,115.68,28.62834342,fit
71,AMSUMMIT,50m,TOTAL,115.68,20.09697117,lwr
72,AMSUMMIT,50m,TOTAL,115.68,38.87060483,upr
73,AMSUMMIT,70m,DECIDUOUS SHRUBS,5.12,45.28378228,ci
74,AMSUMMIT,70m,DECIDUOUS SHRUBS,5.12,60.942743,fit
75,AMSUMMIT,70m,DECIDUOUS SHRUBS,5.12,40.53510694,lwr
76,AMSUMMIT,70m,DECIDUOUS SHRUBS,5.12,87.06786133,upr
77,AMSUMMIT,70m,EVERGREEN SHRUBS,0,0,ci
78,AMSUMMIT,70m,EVERGREEN SHRUBS,0,0,fit
79,AMSUMMIT,70m,EVERGREEN SHRUBS,0,0.362155646,lwr
80,AMSUMMIT,70m,EVERGREEN SHRUBS,0,0.778129637,upr
81,AMSUMMIT,70m,FORBS,34.76,15.41279063,ci
82,AMSUMMIT,70m,FORBS,34.76,16.23495138,fit
83,AMSUMMIT,70m,FORBS,34.76,9.549011692,lwr
84,AMSUMMIT,70m,FORBS,34.76,24.96180214,upr
85,AMSUMMIT,70m,GRAMINOIDS,131.64,94.25317995,ci
86,AMSUMMIT,70m,GRAMINOIDS,131.64,220.8115875,fit
87,AMSUMMIT,70m,GRAMINOIDS,131.64,176.0553728,lwr
88,AMSUMMIT,70m,GRAMINOIDS,131.64,269.7651559,upr
89,AMSUMMIT,70m,LICHENS,0,0,ci
90,AMSUMMIT,70m,LICHENS,0,0,fit
91,AMSUMMIT,70m,LICHENS,0,0,lwr
92,AMSUMMIT,70m,LICHENS,0,0,upr
93,AMSUMMIT,70m,TOTAL,171.52,154.9497529,ci
94,AMSUMMIT,70m,TOTAL,171.52,297.9892819,fit
95,AMSUMMIT,70m,TOTAL,171.52,226.5016471,lwr
96,AMSUMMIT,70m,TOTAL,171.52,382.572949,upr
97,AMSUMMIT,90m,DECIDUOUS SHRUBS,123.84,191.1716511,ci
98,AMSUMMIT,90m,DECIDUOUS SHRUBS,123.84,255.2766761,fit
99,AMSUMMIT,90m,DECIDUOUS SHRUBS,123.84,168.6841267,lwr
100,AMSUMMIT,90m,DECIDUOUS SHRUBS,123.84,359.1041275,upr
101,AMSUMMIT,90m,EVERGREEN SHRUBS,0,0,ci
102,AMSUMMIT,90m,EVERGREEN SHRUBS,0,0,fit
103,AMSUMMIT,90m,EVERGREEN SHRUBS,0,0,lwr
104,AMSUMMIT,90m,EVERGREEN SHRUBS,0,0,upr
105,AMSUMMIT,90m,FORBS,20.08,1.377781726,ci
106,AMSUMMIT,90m,FORBS,20.08,1.271104462,fit
107,AMSUMMIT,90m,FORBS,20.08,0.680030327,lwr
108,AMSUMMIT,90m,FORBS,20.08,2.057812028,upr
109,AMSUMMIT,90m,GRAMINOIDS,84.64,63.06633862,ci
110,AMSUMMIT,90m,GRAMINOIDS,84.64,129.2639435,fit
111,AMSUMMIT,90m,GRAMINOIDS,84.64,99.86345049,lwr
112,AMSUMMIT,90m,GRAMINOIDS,84.64,162.9218398,upr
113,AMSUMMIT,90m,LICHENS,0,0,ci
114,AMSUMMIT,90m,LICHENS,0,0,fit
115,AMSUMMIT,90m,LICHENS,0,0,lwr
116,AMSUMMIT,90m,LICHENS,0,0,upr
117,AMSUMMIT,90m,TOTAL,228.56,255.6157715,ci
118,AMSUMMIT,90m,TOTAL,228.56,385.811724,fit
119,AMSUMMIT,90m,TOTAL,228.56,269.2276075,lwr
120,AMSUMMIT,90m,TOTAL,228.56,524.0837794,upr
121,AUFEIS,10m,DECIDUOUS SHRUBS,8.532,2.807859063,ci
122,AUFEIS,10m,DECIDUOUS SHRUBS,8.532,5.912311893,fit
123,AUFEIS,10m,DECIDUOUS SHRUBS,8.532,3.959384954,lwr
124,AUFEIS,10m,DECIDUOUS SHRUBS,8.532,9.250253763,upr
125,AUFEIS,10m,EVERGREEN SHRUBS,31.86,25.64159175,ci
126,AUFEIS,10m,EVERGREEN SHRUBS,31.86,34.10511143,fit
127,AUFEIS,10m,EVERGREEN SHRUBS,31.86,22.72655124,lwr
128,AUFEIS,10m,EVERGREEN SHRUBS,31.86,46.94002585,upr
129,AUFEIS,10m,FORBS,27.048,0.195617041,ci
130,AUFEIS,10m,FORBS,27.048,1.086687846,fit
131,AUFEIS,10m,FORBS,27.048,0.323998332,lwr
132,AUFEIS,10m,FORBS,27.048,1.404298475,upr
133,AUFEIS,10m,GRAMINOIDS,37.28,26.50844425,ci
134,AUFEIS,10m,GRAMINOIDS,37.28,59.39239882,fit
135,AUFEIS,10m,GRAMINOIDS,37.28,48.41287186,lwr
136,AUFEIS,10m,GRAMINOIDS,37.28,72.97973037,upr
137,AUFEIS,10m,TOTAL,104.72,55.15351211,ci
138,AUFEIS,10m,TOTAL,104.72,100.49651,fit
139,AUFEIS,10m,TOTAL,104.72,75.42280639,lwr
140,AUFEIS,10m,TOTAL,104.72,130.5743085,upr
141,AUFEIS,30m,DECIDUOUS SHRUBS,11.304,1.056147618,ci
142,AUFEIS,30m,DECIDUOUS SHRUBS,11.304,1.568532234,fit
143,AUFEIS,30m,DECIDUOUS SHRUBS,11.304,1.80663236,lwr
144,AUFEIS,30m,DECIDUOUS SHRUBS,11.304,1.958660413,upr
145,AUFEIS,30m,EVERGREEN SHRUBS,13.668,14.85032535,ci
146,AUFEIS,30m,EVERGREEN SHRUBS,13.668,18.65264246,fit
147,AUFEIS,30m,EVERGREEN SHRUBS,13.668,11.88084166,lwr
148,AUFEIS,30m,EVERGREEN SHRUBS,13.668,28.12066145,upr
149,AUFEIS,30m,FORBS,13.552,0.301355943,ci
150,AUFEIS,30m,FORBS,13.552,0.26491051,fit
151,AUFEIS,30m,FORBS,13.552,0.184961513,lwr
152,AUFEIS,30m,FORBS,13.552,0.408555169,upr
153,AUFEIS,30m,GRAMINOIDS,44.296,15.1471768,ci
154,AUFEIS,30m,GRAMINOIDS,44.296,39.47971109,fit
155,AUFEIS,30m,GRAMINOIDS,44.296,31.801462,lwr
156,AUFEIS,30m,GRAMINOIDS,44.296,46.9755295,upr
157,AUFEIS,30m,LICHENS,0.92,0,ci
158,AUFEIS,30m,LICHENS,0.92,0,fit
159,AUFEIS,30m,LICHENS,0.92,0,lwr
160,AUFEIS,30m,LICHENS,0.92,0,upr
161,AUFEIS,30m,TOTAL,83.74,31.35500571,ci
162,AUFEIS,30m,TOTAL,83.74,59.9657963,fit
163,AUFEIS,30m,TOTAL,83.74,45.67389753,lwr
164,AUFEIS,30m,TOTAL,83.74,77.46340653,upr
165,AUFEIS,50m,DECIDUOUS SHRUBS,21.748,1.014202733,ci
166,AUFEIS,50m,DECIDUOUS SHRUBS,21.748,2.102915496,fit
167,AUFEIS,50m,DECIDUOUS SHRUBS,21.748,2.216662906,lwr
168,AUFEIS,50m,DECIDUOUS SHRUBS,21.748,2.604530834,upr
169,AUFEIS,50m,EVERGREEN SHRUBS,14.048,19.3207506,ci
170,AUFEIS,50m,EVERGREEN SHRUBS,14.048,22.69774952,fit
171,AUFEIS,50m,EVERGREEN SHRUBS,14.048,13.89334796,lwr
172,AUFEIS,50m,EVERGREEN SHRUBS,14.048,31.84580154,upr
173,AUFEIS,50m,FORBS,29.276,0.654574681,ci
174,AUFEIS,50m,FORBS,29.276,0.691659063,fit
175,AUFEIS,50m,FORBS,29.276,0.373286396,lwr
176,AUFEIS,50m,FORBS,29.276,1.098377101,upr
177,AUFEIS,50m,GRAMINOIDS,24.704,15.12654141,ci
178,AUFEIS,50m,GRAMINOIDS,24.704,39.57709785,fit
179,AUFEIS,50m,GRAMINOIDS,24.704,32.87411988,lwr
180,AUFEIS,50m,GRAMINOIDS,24.704,49.13713595,upr
181,AUFEIS,50m,LICHENS,0,0,ci
182,AUFEIS,50m,LICHENS,0,0,fit
183,AUFEIS,50m,LICHENS,0,0,lwr
184,AUFEIS,50m,LICHENS,0,0,upr
185,AUFEIS,50m,TOTAL,89.776,36.11606942,ci
186,AUFEIS,50m,TOTAL,89.776,65.06942193,fit
187,AUFEIS,50m,TOTAL,89.776,49.35741714,lwr
188,AUFEIS,50m,TOTAL,89.776,84.68584542,upr
189,AUFEIS,70m,DECIDUOUS SHRUBS,1.368,0.159838652,ci
190,AUFEIS,70m,DECIDUOUS SHRUBS,1.368,0.354512779,fit
191,AUFEIS,70m,DECIDUOUS SHRUBS,1.368,0.234691955,lwr
192,AUFEIS,70m,DECIDUOUS SHRUBS,1.368,0.450139172,upr
193,AUFEIS,70m,EVERGREEN SHRUBS,10.56,16.20544225,ci
194,AUFEIS,70m,EVERGREEN SHRUBS,10.56,19.80161389,fit
195,AUFEIS,70m,EVERGREEN SHRUBS,10.56,12.77440291,lwr
196,AUFEIS,70m,EVERGREEN SHRUBS,10.56,28.17223406,upr
197,AUFEIS,70m,FORBS,16.888,0,ci
198,AUFEIS,70m,FORBS,16.888,0.141146973,fit
199,AUFEIS,70m,FORBS,16.888,0.128694981,lwr
200,AUFEIS,70m,FORBS,16.888,0.249863833,upr
201,AUFEIS,70m,GRAMINOIDS,32.908,6.690795575,ci
202,AUFEIS,70m,GRAMINOIDS,32.908,15.05870555,fit
203,AUFEIS,70m,GRAMINOIDS,32.908,11.5841043,lwr
204,AUFEIS,70m,GRAMINOIDS,32.908,19.42087076,upr
205,AUFEIS,70m,TOTAL,61.724,23.05607647,ci
206,AUFEIS,70m,TOTAL,61.724,35.35597919,fit
207,AUFEIS,70m,TOTAL,61.724,24.72189416,lwr
208,AUFEIS,70m,TOTAL,61.724,48.29310782,upr
209,AUFEIS,90m,EVERGREEN SHRUBS,1.564,1.335941221,ci
210,AUFEIS,90m,EVERGREEN SHRUBS,1.564,2.139969252,fit
211,AUFEIS,90m,EVERGREEN SHRUBS,1.564,1.512937741,lwr
212,AUFEIS,90m,EVERGREEN SHRUBS,1.564,2.880290519,upr
213,AUFEIS,90m,FORBS,14.36,0.259592382,ci
214,AUFEIS,90m,FORBS,14.36,0.382590409,fit
215,AUFEIS,90m,FORBS,14.36,0.250175704,lwr
216,AUFEIS,90m,FORBS,14.36,0.453403044,upr
217,AUFEIS,90m,GRAMINOIDS,26.256,13.65834148,ci
218,AUFEIS,90m,GRAMINOIDS,26.256,35.03212651,fit
219,AUFEIS,90m,GRAMINOIDS,26.256,28.00721043,lwr
220,AUFEIS,90m,GRAMINOIDS,26.256,42.09023198,upr
221,AUFEIS,90m,LICHENS,0,0,ci
222,AUFEIS,90m,LICHENS,0,0,fit
223,AUFEIS,90m,LICHENS,0,0,lwr
224,AUFEIS,90m,LICHENS,0,0,upr
225,AUFEIS,90m,TOTAL,36.332,20.77131487,ci
226,AUFEIS,90m,TOTAL,36.332,48.48834972,fit
227,AUFEIS,90m,TOTAL,36.332,38.74180518,lwr
228,AUFEIS,90m,TOTAL,36.332,59.95752858,upr
229,BABBAGE,10m,DECIDUOUS SHRUBS,42.992,25.98022446,ci
230,BABBAGE,10m,DECIDUOUS SHRUBS,42.992,63.13888045,fit
231,BABBAGE,10m,DECIDUOUS SHRUBS,42.992,50.55869349,lwr
232,BABBAGE,10m,DECIDUOUS SHRUBS,42.992,77.4159132,upr
233,BABBAGE,10m,EVERGREEN SHRUBS,178.124,54.50913911,ci
234,BABBAGE,10m,EVERGREEN SHRUBS,178.124,113.033315,fit
235,BABBAGE,10m,EVERGREEN SHRUBS,178.124,85.15290503,lwr
236,BABBAGE,10m,EVERGREEN SHRUBS,178.124,138.6774308,upr
237,BABBAGE,10m,FORBS,8.896,6.964556765,ci
238,BABBAGE,10m,FORBS,8.896,10.26186411,fit
239,BABBAGE,10m,FORBS,8.896,7.185379513,lwr
240,BABBAGE,10m,FORBS,8.896,15.01791389,upr
241,BABBAGE,10m,GRAMINOIDS,35.668,21.57419846,ci
242,BABBAGE,10m,GRAMINOIDS,35.668,49.76277691,fit
243,BABBAGE,10m,GRAMINOIDS,35.668,43.75882833,lwr
244,BABBAGE,10m,GRAMINOIDS,35.668,62.73724082,upr
245,BABBAGE,10m,LICHENS,1.196,0,ci
246,BABBAGE,10m,LICHENS,1.196,0,fit
247,BABBAGE,10m,LICHENS,1.196,0,lwr
248,BABBAGE,10m,LICHENS,1.196,0,upr
249,BABBAGE,10m,TOTAL,266.876,109.0281188,ci
250,BABBAGE,10m,TOTAL,266.876,236.1968364,fit
251,BABBAGE,10m,TOTAL,266.876,186.6558064,lwr
252,BABBAGE,10m,TOTAL,266.876,293.8484987,upr
253,BABBAGE,30m,DECIDUOUS SHRUBS,341.424,102.5760102,ci
254,BABBAGE,30m,DECIDUOUS SHRUBS,341.424,260.3769933,fit
255,BABBAGE,30m,DECIDUOUS SHRUBS,341.424,215.4556454,lwr
256,BABBAGE,30m,DECIDUOUS SHRUBS,341.424,312.646822,upr
257,BABBAGE,30m,EVERGREEN SHRUBS,29.788,15.9568274,ci
258,BABBAGE,30m,EVERGREEN SHRUBS,29.788,36.43181247,fit
259,BABBAGE,30m,EVERGREEN SHRUBS,29.788,28.2870736,lwr
260,BABBAGE,30m,EVERGREEN SHRUBS,29.788,43.75297545,upr
261,BABBAGE,30m,FORBS,20.672,50.22635325,ci
262,BABBAGE,30m,FORBS,20.672,50.26403643,fit
263,BABBAGE,30m,FORBS,20.672,26.20206121,lwr
264,BABBAGE,30m,FORBS,20.672,81.08056748,upr
265,BABBAGE,30m,GRAMINOIDS,14.236,7.277655251,ci
266,BABBAGE,30m,GRAMINOIDS,14.236,17.71995154,fit
267,BABBAGE,30m,GRAMINOIDS,14.236,15.06153669,lwr
268,BABBAGE,30m,GRAMINOIDS,14.236,23.36512701,upr
269,BABBAGE,30m,LICHENS,2.604,0,ci
270,BABBAGE,30m,LICHENS,2.604,0,fit
271,BABBAGE,30m,LICHENS,2.604,0,lwr
272,BABBAGE,30m,LICHENS,2.604,0,upr
273,BABBAGE,30m,TOTAL,408.724,176.0368461,ci
274,BABBAGE,30m,TOTAL,408.724,364.7927937,fit
275,BABBAGE,30m,TOTAL,408.724,285.0063169,lwr
276,BABBAGE,30m,TOTAL,408.724,460.8454919,upr
277,BABBAGE,50m,DECIDUOUS SHRUBS,169.944,82.85787711,ci
278,BABBAGE,50m,DECIDUOUS SHRUBS,169.944,218.3994369,fit
279,BABBAGE,50m,DECIDUOUS SHRUBS,169.944,177.3912496,lwr
280,BABBAGE,50m,DECIDUOUS SHRUBS,169.944,259.9334411,upr
281,BABBAGE,50m,EVERGREEN SHRUBS,216.496,17.03828154,ci
282,BABBAGE,50m,EVERGREEN SHRUBS,216.496,33.7324353,fit
283,BABBAGE,50m,EVERGREEN SHRUBS,216.496,27.24602752,lwr
284,BABBAGE,50m,EVERGREEN SHRUBS,216.496,42.81309221,upr
285,BABBAGE,50m,FORBS,4.84,3.548733374,ci
286,BABBAGE,50m,FORBS,4.84,5.69506219,fit
287,BABBAGE,50m,FORBS,4.84,3.183452174,lwr
288,BABBAGE,50m,FORBS,4.84,8.046340341,upr
289,BABBAGE,50m,GRAMINOIDS,11.612,3.269739894,ci
290,BABBAGE,50m,GRAMINOIDS,11.612,8.472768888,fit
291,BABBAGE,50m,GRAMINOIDS,11.612,7.098520003,lwr
292,BABBAGE,50m,GRAMINOIDS,11.612,11.21986844,upr
293,BABBAGE,50m,LICHENS,2.024,0,ci
294,BABBAGE,50m,LICHENS,2.024,0,fit
295,BABBAGE,50m,LICHENS,2.024,0,lwr
296,BABBAGE,50m,LICHENS,2.024,0,upr
297,BABBAGE,50m,TOTAL,404.916,106.7146319,ci
298,BABBAGE,50m,TOTAL,404.916,266.2997033,fit
299,BABBAGE,50m,TOTAL,404.916,214.9192493,lwr
300,BABBAGE,50m,TOTAL,404.916,322.0127421,upr
301,BABBAGE,70m,DECIDUOUS SHRUBS,215.624,78.15481036,ci
302,BABBAGE,70m,DECIDUOUS SHRUBS,215.624,202.2401485,fit
303,BABBAGE,70m,DECIDUOUS SHRUBS,215.624,162.9146355,lwr
304,BABBAGE,70m,DECIDUOUS SHRUBS,215.624,239.2692181,upr
305,BABBAGE,70m,EVERGREEN SHRUBS,121.984,83.87447569,ci
306,BABBAGE,70m,EVERGREEN SHRUBS,121.984,178.0740822,fit
307,BABBAGE,70m,EVERGREEN SHRUBS,121.984,137.4789091,lwr
308,BABBAGE,70m,EVERGREEN SHRUBS,121.984,222.5451671,upr
309,BABBAGE,70m,FORBS,1.532,4.519735619,ci
310,BABBAGE,70m,FORBS,1.532,5.358420849,fit
311,BABBAGE,70m,FORBS,1.532,4.597549565,lwr
312,BABBAGE,70m,FORBS,1.532,9.446516305,upr
313,BABBAGE,70m,GRAMINOIDS,4,1.343213416,ci
314,BABBAGE,70m,GRAMINOIDS,4,3.010976443,fit
315,BABBAGE,70m,GRAMINOIDS,4,2.12959056,lwr
316,BABBAGE,70m,GRAMINOIDS,4,3.289746046,upr
317,BABBAGE,70m,LICHENS,18.568,0,ci
318,BABBAGE,70m,LICHENS,18.568,0,fit
319,BABBAGE,70m,LICHENS,18.568,0,lwr
320,BABBAGE,70m,LICHENS,18.568,0,upr
321,BABBAGE,70m,TOTAL,361.708,167.8922351,ci
322,BABBAGE,70m,TOTAL,361.708,388.683628,fit
323,BABBAGE,70m,TOTAL,361.708,307.1206847,lwr
324,BABBAGE,70m,TOTAL,361.708,474.5506475,upr
325,BABBAGE,90m,DECIDUOUS SHRUBS,258.788,53.81831861,ci
326,BABBAGE,90m,DECIDUOUS SHRUBS,258.788,137.7718331,fit
327,BABBAGE,90m,DECIDUOUS SHRUBS,258.788,111.1541993,lwr
328,BABBAGE,90m,DECIDUOUS SHRUBS,258.788,163.7973161,upr
329,BABBAGE,90m,EVERGREEN SHRUBS,92.664,80.9107433,ci
330,BABBAGE,90m,EVERGREEN SHRUBS,92.664,165.1996679,fit
331,BABBAGE,90m,EVERGREEN SHRUBS,92.664,127.8996805,lwr
332,BABBAGE,90m,EVERGREEN SHRUBS,92.664,210.0740902,upr
333,BABBAGE,90m,FORBS,8.876,4.212759644,ci
334,BABBAGE,90m,FORBS,8.876,9.963277735,fit
335,BABBAGE,90m,FORBS,8.876,6.261137307,lwr
336,BABBAGE,90m,FORBS,8.876,11.95369686,upr
337,BABBAGE,90m,GRAMINOIDS,10.532,21.69401283,ci
338,BABBAGE,90m,GRAMINOIDS,10.532,50.7936167,fit
339,BABBAGE,90m,GRAMINOIDS,10.532,41.88628692,lwr
340,BABBAGE,90m,GRAMINOIDS,10.532,63.2360309,upr
341,BABBAGE,90m,LICHENS,9.952,0,ci
342,BABBAGE,90m,LICHENS,9.952,0,fit
343,BABBAGE,90m,LICHENS,9.952,0,lwr
344,BABBAGE,90m,LICHENS,9.952,0,upr
345,BABBAGE,90m,TOTAL,380.812,160.6358344,ci
346,BABBAGE,90m,TOTAL,380.812,363.7283954,fit
347,BABBAGE,90m,TOTAL,380.812,287.2013041,lwr
348,BABBAGE,90m,TOTAL,380.812,449.0611341,upr
349,BLOWRIVER,10m,DECIDUOUS SHRUBS,24.548,1.650483068,ci
350,BLOWRIVER,10m,DECIDUOUS SHRUBS,24.548,3.139654052,fit
351,BLOWRIVER,10m,DECIDUOUS SHRUBS,24.548,1.704974256,lwr
352,BLOWRIVER,10m,DECIDUOUS SHRUBS,24.548,2.238932393,upr
353,BLOWRIVER,10m,EVERGREEN SHRUBS,92.836,31.34742361,ci
354,BLOWRIVER,10m,EVERGREEN SHRUBS,92.836,78.68657991,fit
355,BLOWRIVER,10m,EVERGREEN SHRUBS,92.836,65.94469671,lwr
356,BLOWRIVER,10m,EVERGREEN SHRUBS,92.836,103.3451311,upr
357,BLOWRIVER,10m,FORBS,1.152,0.446197957,ci
358,BLOWRIVER,10m,FORBS,1.152,0.761192635,fit
359,BLOWRIVER,10m,FORBS,1.152,0.605308585,lwr
360,BLOWRIVER,10m,FORBS,1.152,1.387373783,upr
361,BLOWRIVER,10m,GRAMINOIDS,48.208,25.550007,ci
362,BLOWRIVER,10m,GRAMINOIDS,48.208,64.93275936,fit
363,BLOWRIVER,10m,GRAMINOIDS,48.208,50.82985221,lwr
364,BLOWRIVER,10m,GRAMINOIDS,48.208,71.6954166,upr
365,BLOWRIVER,10m,LICHENS,0,0,ci
366,BLOWRIVER,10m,LICHENS,0,0,fit
367,BLOWRIVER,10m,LICHENS,0,0,lwr
368,BLOWRIVER,10m,LICHENS,0,0,upr
369,BLOWRIVER,10m,TOTAL,166.744,58.99411163,ci
370,BLOWRIVER,10m,TOTAL,166.744,147.520186,fit
371,BLOWRIVER,10m,TOTAL,166.744,119.0848318,lwr
372,BLOWRIVER,10m,TOTAL,166.744,178.6668538,upr
373,BLOWRIVER,30m,DECIDUOUS SHRUBS,95.18,8.485517453,ci
374,BLOWRIVER,30m,DECIDUOUS SHRUBS,95.18,15.94534911,fit
375,BLOWRIVER,30m,DECIDUOUS SHRUBS,95.18,11.12300316,lwr
376,BLOWRIVER,30m,DECIDUOUS SHRUBS,95.18,18.96609355,upr
377,BLOWRIVER,30m,EVERGREEN SHRUBS,48.664,6.251926628,ci
378,BLOWRIVER,30m,EVERGREEN SHRUBS,48.664,13.80346097,fit
379,BLOWRIVER,30m,EVERGREEN SHRUBS,48.664,12.32938653,lwr
380,BLOWRIVER,30m,EVERGREEN SHRUBS,48.664,19.12451703,upr
381,BLOWRIVER,30m,FORBS,0.584,6.875217889,ci
382,BLOWRIVER,30m,FORBS,0.584,5.860113904,fit
383,BLOWRIVER,30m,FORBS,0.584,3.219423018,lwr
384,BLOWRIVER,30m,FORBS,0.584,10.84587367,upr
385,BLOWRIVER,30m,GRAMINOIDS,57.228,23.76754394,ci
386,BLOWRIVER,30m,GRAMINOIDS,57.228,57.89040138,fit
387,BLOWRIVER,30m,GRAMINOIDS,57.228,45.83388241,lwr
388,BLOWRIVER,30m,GRAMINOIDS,57.228,68.84098981,upr
389,BLOWRIVER,30m,LICHENS,0,0,ci
390,BLOWRIVER,30m,LICHENS,0,0,fit
391,BLOWRIVER,30m,LICHENS,0,0,lwr
392,BLOWRIVER,30m,LICHENS,0,0,upr
393,BLOWRIVER,30m,TOTAL,201.656,45.38020591,ci
394,BLOWRIVER,30m,TOTAL,201.656,93.49932536,fit
395,BLOWRIVER,30m,TOTAL,201.656,72.50569512,lwr
396,BLOWRIVER,30m,TOTAL,201.656,117.7774741,upr
397,BLOWRIVER,50m,DECIDUOUS SHRUBS,1050.152,759.225551,ci
398,BLOWRIVER,50m,DECIDUOUS SHRUBS,1050.152,1253.246282,fit
399,BLOWRIVER,50m,DECIDUOUS SHRUBS,1050.152,894.3251161,lwr
400,BLOWRIVER,50m,DECIDUOUS SHRUBS,1050.152,1658.339523,upr
401,BLOWRIVER,50m,EVERGREEN SHRUBS,0,0,ci
402,BLOWRIVER,50m,EVERGREEN SHRUBS,0,0,fit
403,BLOWRIVER,50m,EVERGREEN SHRUBS,0,0,lwr
404,BLOWRIVER,50m,EVERGREEN SHRUBS,0,0,upr
405,BLOWRIVER,50m,FORBS,1.228,0,ci
