site_code,quadrat_num,metric,PFT,weight
AMSUMMIT,90m,ci,BRYOPHYTES,0.312593683
AMSUMMIT,90m,ci,DECIDUOUS SHRUBS,47.79291278
AMSUMMIT,90m,ci,FORBS,0.344445432
AMSUMMIT,90m,ci,GRAMINOIDS,15.76658466
AMSUMMIT,90m,ci,NON VEGETATED,0.095278082
AMSUMMIT,0m,ci,BRYOPHYTES,0.22103817
AMSUMMIT,0m,ci,DECIDUOUS SHRUBS,1.946082042
AMSUMMIT,0m,ci,EVERGREEN SHRUBS,0.44299736
AMSUMMIT,0m,ci,FORBS,2.352314191
AMSUMMIT,0m,ci,GRAMINOIDS,4.634631925
AMSUMMIT,0m,ci,NON VEGETATED,0.032051352
AMSUMMIT,10m,ci,BRYOPHYTES,0.043374884
AMSUMMIT,10m,ci,DECIDUOUS SHRUBS,0.960615866
AMSUMMIT,10m,ci,EVERGREEN SHRUBS,0.200158746
AMSUMMIT,10m,ci,FORBS,0.098447767
AMSUMMIT,10m,ci,GRAMINOIDS,10.63282975
AMSUMMIT,10m,ci,NON VEGETATED,0.149317073
AMSUMMIT,20m,ci,BRYOPHYTES,0
AMSUMMIT,20m,ci,DECIDUOUS SHRUBS,1.431400903
AMSUMMIT,20m,ci,EVERGREEN SHRUBS,0.150820494
AMSUMMIT,20m,ci,FORBS,3.018602427
AMSUMMIT,20m,ci,GRAMINOIDS,16.02500212
AMSUMMIT,20m,ci,NON VEGETATED,0
AMSUMMIT,30m,ci,BRYOPHYTES,0.019960123
AMSUMMIT,30m,ci,DECIDUOUS SHRUBS,0.274723778
AMSUMMIT,30m,ci,GRAMINOIDS,7.121917059
AMSUMMIT,30m,ci,NON VEGETATED,0.055082262
AMSUMMIT,40m,ci,BRYOPHYTES,0.017465109
AMSUMMIT,40m,ci,DECIDUOUS SHRUBS,0.09335055
AMSUMMIT,40m,ci,EVERGREEN SHRUBS,0.424338476
AMSUMMIT,40m,ci,FORBS,0.127566114
AMSUMMIT,40m,ci,GRAMINOIDS,10.99322794
AMSUMMIT,40m,ci,NON VEGETATED,0.03742523
AMSUMMIT,50m,ci,BRYOPHYTES,0.46269244
AMSUMMIT,50m,ci,DECIDUOUS SHRUBS,2.936934711
AMSUMMIT,50m,ci,FORBS,0.598786042
AMSUMMIT,50m,ci,GRAMINOIDS,1.13953379
AMSUMMIT,50m,ci,NON VEGETATED,0.093526416
AMSUMMIT,60m,ci,BRYOPHYTES,0.184482972
AMSUMMIT,60m,ci,DECIDUOUS SHRUBS,30.69814187
AMSUMMIT,60m,ci,EVERGREEN SHRUBS,0.043054629
AMSUMMIT,60m,ci,FORBS,0.605718765
AMSUMMIT,60m,ci,GRAMINOIDS,5.524610347
AMSUMMIT,60m,ci,NON VEGETATED,0
AMSUMMIT,70m,ci,BRYOPHYTES,0.605217432
AMSUMMIT,70m,ci,DECIDUOUS SHRUBS,11.32094557
AMSUMMIT,70m,ci,FORBS,3.853197658
AMSUMMIT,70m,ci,GRAMINOIDS,23.56329499
AMSUMMIT,70m,ci,NON VEGETATED,1.502436754
AMSUMMIT,80m,ci,BRYOPHYTES,0.018040881
AMSUMMIT,80m,ci,DECIDUOUS SHRUBS,9.03405449
AMSUMMIT,80m,ci,GRAMINOIDS,7.511842461
AMSUMMIT,80m,ci,NON VEGETATED,0.303500667
AMSUMMIT,90m,fit,BRYOPHYTES,0.417712596
AMSUMMIT,90m,fit,DECIDUOUS SHRUBS,63.81916901
AMSUMMIT,90m,fit,FORBS,0.317776116
AMSUMMIT,90m,fit,GRAMINOIDS,32.31598587
AMSUMMIT,90m,fit,NON VEGETATED,0.144727579
AMSUMMIT,0m,fit,BRYOPHYTES,0.475836701
AMSUMMIT,0m,fit,DECIDUOUS SHRUBS,2.611533487
AMSUMMIT,0m,fit,EVERGREEN SHRUBS,1.111172482
AMSUMMIT,0m,fit,FORBS,2.320441044
AMSUMMIT,0m,fit,GRAMINOIDS,10.79806384
AMSUMMIT,0m,fit,NON VEGETATED,0.081986328
AMSUMMIT,10m,fit,BRYOPHYTES,0.110951557
AMSUMMIT,10m,fit,DECIDUOUS SHRUBS,1.55442198
AMSUMMIT,10m,fit,EVERGREEN SHRUBS,0.47261335
AMSUMMIT,10m,fit,FORBS,0.084484791
AMSUMMIT,10m,fit,GRAMINOIDS,26.77278291
AMSUMMIT,10m,fit,NON VEGETATED,0.381948275
AMSUMMIT,20m,fit,BRYOPHYTES,0
AMSUMMIT,20m,fit,DECIDUOUS SHRUBS,1.894307062
AMSUMMIT,20m,fit,EVERGREEN SHRUBS,0.354463995
AMSUMMIT,20m,fit,FORBS,2.5904702
AMSUMMIT,20m,fit,GRAMINOIDS,40.73453535
AMSUMMIT,20m,fit,NON VEGETATED,0
AMSUMMIT,30m,fit,BRYOPHYTES,0.050075481
AMSUMMIT,30m,fit,DECIDUOUS SHRUBS,0.625865538
AMSUMMIT,30m,fit,GRAMINOIDS,18.06566659
AMSUMMIT,30m,fit,NON VEGETATED,0.192446938
AMSUMMIT,40m,fit,BRYOPHYTES,0.044675185
AMSUMMIT,40m,fit,DECIDUOUS SHRUBS,0.178273763
AMSUMMIT,40m,fit,EVERGREEN SHRUBS,0.990508918
AMSUMMIT,40m,fit,FORBS,0.109473251
AMSUMMIT,40m,fit,GRAMINOIDS,27.02798999
AMSUMMIT,40m,fit,NON VEGETATED,0.095732532
AMSUMMIT,50m,fit,BRYOPHYTES,0.672437132
AMSUMMIT,50m,fit,DECIDUOUS SHRUBS,3.85775636
AMSUMMIT,50m,fit,FORBS,0.538638415
AMSUMMIT,50m,fit,GRAMINOIDS,2.76069108
AMSUMMIT,50m,fit,NON VEGETATED,0.135382568
AMSUMMIT,60m,fit,BRYOPHYTES,0.25764947
AMSUMMIT,60m,fit,DECIDUOUS SHRUBS,41.05289519
AMSUMMIT,60m,fit,EVERGREEN SHRUBS,0.056978229
AMSUMMIT,60m,fit,FORBS,0.603747811
